lat,lon,street,postcode,housenumber,city
25.7966299,-80.1945881,33127,2043,95800,Miami
25.7968915,-80.1945928,33127,2049,360008,Miami
25.7959662,-80.1946887,33127,2003,203731,Miami
25.7961389,-80.1951624,33127,2010,201906,Miami
25.7956256,-80.1974561,33127,127,323964,Miami
25.7966106,-80.1979718,33127,150,140875,Miami
25.7993279,-80.1980082,33127,143,13211,Miami
25.7996178,-80.1983264,33127,176,85478,Miami
25.7996227,-80.1981732,33127,170,255311,Miami
25.8009903,-80.198281,33127,167,478463,Miami
25.8024679,-80.1970044,33127,97,544019,Miami
25.8025139,-80.1956208,33127,21,99463,Miami
25.8011217,-80.1989036,33127,2511,377937,Miami
25.8009089,-80.1988112,33127,2501,142534,Miami
25.8016958,-80.1984586,33127,169,310854,Miami
25.8017004,-80.1983228,33127,161,565444,Miami
25.8017254,-80.1975932,33127,121,497051,Miami
