lat,lon,street,postcode,housenumber,city,state,country
40.4693227,-79.9029422,Album Street,15206,1227, , , 
40.469085,-79.9025823,Album Street,15206,1230, , , 
40.4690427,-79.9024803,Album Street,15206,1234, , , 
40.4691155,-79.9024172,Album Street,15206,1236, , , 
40.4691579,-79.9023355,Album Street,15206,1238, , , 
40.4694888,-79.9022626,Album Street,15206,1247, , , 
40.4691989,-79.9021721,Album Street,15206,1244, , , 
40.4695565,-79.9020307,Album Street,15206,1255, , , 
40.469589,-79.9019376,Album Street,15206,1257, , , 
40.4693232,-79.9017037,Album Street,15206,1254, , , 
