lat,lon,street,postcode,housenumber,city,state,country
40.4850595,-79.9236878,Antietam Street,15206,1828, , , 
40.4851027,-79.9236418,Antietam Street,15206,1830, , , 
40.4851659,-79.9235614,Antietam Street,15206,1832, , , 
40.4852029,-79.923522,Antietam Street,15206,1834, , , 
40.4861824,-79.9223938,Antietam Street,15206,1926, , , 
40.4862139,-79.9223545,Antietam Street,15206,1928, , , 
40.4862454,-79.9223128,Antietam Street,15206,1930, , , 
40.4863286,-79.9222111,Antietam Street,15206,1934, , , 
40.4864569,-79.9219876,Antietam Street,15206,1942, , , 
40.4865338,-79.9220059,Antietam Street,15206,1944, , , 
40.4867758,-79.921662,Antietam Street,15206,5, , , 
40.4866407,-79.9217814,Antietam Street,15206,1950, , , 
40.4867074,-79.9217059,Antietam Street,15206,1952, , , 
