lat,lon,street,postcode,housenumber,city,state,country
40.4627509,-79.8949178,Apple Avenue,15206,7142, , , 
40.4627521,-79.8951339,Apple Avenue,15206,7136, , , 
40.4638886,-79.8956546,Apple Avenue,15206,7101, , , 
40.4645558,-79.8976046,Apple Avenue,15206,7029, , , 
40.4648164,-79.8996876,Apple Avenue,15206,6920, , , 
40.4649673,-79.9000616,Apple Avenue,15206,6910, , , 
40.4649971,-79.9001136,Apple Avenue,15206,6908, , , 
40.4650255,-79.900153,Apple Avenue,15206,6906, , , 
40.4653102,-79.9012345,Apple Avenue,15206,6668, , , 
40.4654219,-79.9014138,Apple Avenue,15206,6660, , , 
40.4656013,-79.9017622,Apple Avenue,15206,6650, , , 
40.4657323,-79.901363,Apple Avenue,15206,6643, , , 
40.4658475,-79.9013555,Apple Avenue,15206,6641, , , 
40.4659126,-79.9016448,Apple Avenue,15206,6637, , , 
40.465928,-79.9023367,Apple Avenue,15206,6630, , , 
40.4659435,-79.9017141,Apple Avenue,15206,6635, , , 
40.4659874,-79.9017712,Apple Avenue,15206,6633, , , 
40.466078,-79.9025881,Apple Avenue,15206,6622, , , 
40.4661092,-79.9018388,Apple Avenue,15206,6629, , , 
40.4661367,-79.9026784,Apple Avenue,15206,6616, , , 
40.4661441,-79.9028857,Apple Avenue,15206,6612, , , 
40.4662273,-79.9021776,Apple Avenue,15206,6619, , , 
40.4663045,-79.9023217,Apple Avenue,15206,6615, , , 
40.4663068,-79.9029337,Apple Avenue,15206,6608, , , 
40.4663496,-79.9024055,Apple Avenue,15206,6613, , , 
40.4663507,-79.9024077,Apple Avenue,15206,5, , , 
40.4664004,-79.9031272,Apple Avenue,15206,6604, , , 
40.466406,-79.902472,Apple Avenue,15206,6613, , , 
40.4664523,-79.9032155,Apple Avenue,15206,6600, , , 
40.4665533,-79.903516,Apple Avenue,15206,6544, , , 
40.4668369,-79.9031774,Apple Avenue,15206,6563, , , 
40.4670104,-79.9034587,Apple Avenue,15206,6535, , , 
40.4670588,-79.9035268,Apple Avenue,15206,6533, , , 
40.4650937,-79.9003105,Apple Avenue,15206,6900, , , 
40.4650246,-79.9001256,Apple Avenue,15206,6902, , , 
40.4671458,-79.9044593,Apple Avenue,15206,6512, , , 
40.4670415,-79.9043398,Apple Avenue,15206,6518, , , 
40.4670158,-79.9042315,Apple Avenue,15206,6520, , , 
40.4669743,-79.9041597,Apple Avenue,15206,6522, , , 
40.4673422,-79.9038936,Apple Avenue,15206,6517, , , 
40.4675989,-79.905209,Apple Avenue,15206,6442, , , 
40.4676716,-79.905345,Apple Avenue,15206,6440, , , 
40.4677589,-79.9055197,Apple Avenue,15206,6436, , , 
40.467821,-79.9055767,Apple Avenue,15206,6430, , , 
40.4678846,-79.9057171,Apple Avenue,15206,6426, , , 
40.4679388,-79.9057847,Apple Avenue,15206,6424, , , 
40.4680385,-79.9052539,Apple Avenue,15206,6431, , , 
40.4680642,-79.9048316,Apple Avenue,15206,6439, , , 
40.4681429,-79.9054259,Apple Avenue,15206,6425, , , 
40.4682502,-79.9055796,Apple Avenue,15206,6419, , , 
40.4683694,-79.9057945,Apple Avenue,15206,6413, , , 
40.4675502,-79.9051251,Apple Avenue,15206,6444, , , 
40.4685455,-79.9060428,Apple Avenue,15206,6405, , , 
40.4685795,-79.9061334,Apple Avenue,15206,6403, , , 
40.4686052,-79.9071254,Apple Avenue,15206,6350, , , 
40.4686081,-79.9062209,Apple Avenue,15206,6401, , , 
40.4688567,-79.9065963,Apple Avenue,15206,6357, , , 
40.468888,-79.9066408,Apple Avenue,15206,6355, , , 
40.4689176,-79.9067137,Apple Avenue,15206,6353, , , 
40.4689517,-79.9067867,Apple Avenue,15206,6351, , , 
40.4689882,-79.9068918,Apple Avenue,15206,6349, , , 
