lat,lon,street,postcode,housenumber,city,state,country
40.4625317,-79.9036946,Atwell Street,15206,6728, , , 
40.462549,-79.9037394,Atwell Street,15206,6726, , , 
40.462749,-79.9033985,Atwell Street,15206,6733, , , 
40.4630318,-79.9038965,Atwell Street,15206,6713, , , 
40.4626989,-79.9032988,Atwell Street,15206,6735, , , 
40.4626606,-79.9031444,Atwell Street,15206,6739, , , 
40.4628621,-79.903574,Atwell Street,15206,6725, , , 
40.4628385,-79.9034283,Atwell Street,15206,6727, , , 
40.4624492,-79.9036758,Atwell Street,15206,6736, , , 
40.4624386,-79.9035921,Atwell Street,15206,6738, , , 
40.4623721,-79.903407,Atwell Street,15206,6742, , , 
40.4623098,-79.9033295,Atwell Street,15206,6744, , , 
40.4625306,-79.9029278,Atwell Street,15206,6745, , , 
40.4624164,-79.9028857,Atwell Street,15206,6749, , , 
40.4627383,-79.904028,Atwell Street,15206,6716, , , 
