lat,lon,street,postcode,housenumber,city,state,country
40.4634111,-79.9165273,Auburn Street,15206,114, , , 
40.4633512,-79.9164593,Auburn Street,15206,116, , , 
40.4632392,-79.9163554,Auburn Street,15206,120, , , 
40.4631854,-79.9163213,Auburn Street,15206,122, , , 
40.4637178,-79.916209,Auburn Street,15206,111, , , 
40.463002,-79.9160577,Auburn Street,15206,132, , , 
40.4634461,-79.9160248,Auburn Street,15206,121, , , 
40.4629587,-79.9160185,Auburn Street,15206,134, , , 
40.4628848,-79.9159305,Auburn Street,15206,130, , , 
40.4631554,-79.9157253,Auburn Street,15206,135, , , 
40.4630414,-79.9155911,Auburn Street,15206,139, , , 
40.4629855,-79.9155461,Auburn Street,15206,141, , , 
40.4626249,-79.9157137,Auburn Street,15206,146, , , 
40.4627023,-79.9152118,Auburn Street,15206,149, , , 
40.4625645,-79.9156222,Auburn Street,15206,150, , , 
40.4624833,-79.9155477,Auburn Street,15206,152, , , 
40.4626675,-79.9151111,Auburn Street,15206,157, , , 
40.4625971,-79.915083,Auburn Street,15206,159, , , 
40.4624993,-79.9149709,Auburn Street,15206,163, , , 
40.4623971,-79.9154134,Auburn Street,15206,156, , , 
40.4621419,-79.9151273,Auburn Street,15206,166, , , 
40.462073,-79.915037,Auburn Street,15206,168, , , 
40.4623118,-79.9147467,Auburn Street,15206,171, , , 
