lat,lon,street,postcode,housenumber,city,state,country
40.4575187,-79.9209737,Aurelia Street,15206,6344, , , 
40.4575058,-79.9209284,Aurelia Street,15206,6346, , , 
40.4578773,-79.9208239,Aurelia Street,15206,3, , , 
40.4578515,-79.920753,Aurelia Street,15206,4, , , 
40.4578105,-79.9206233,Aurelia Street,15206,6, , , 
40.4577658,-79.9205205,Aurelia Street,15206,7, , , 
40.457611,-79.919991,Aurelia Street,15206,14, , , 
40.4575983,-79.9199177,Aurelia Street,15206,15, , , 
40.4575827,-79.919846,Aurelia Street,15206,16, , , 
40.4572054,-79.9193935,Aurelia Street,15206,22, , , 
40.4573799,-79.9193696,Aurelia Street,15206,19, , , 
40.4570143,-79.9192756,Aurelia Street,15206,24, , , 
40.4568849,-79.9192045,Aurelia Street,15206,26, , , 
40.4568198,-79.9191769,Aurelia Street,15206,27, , , 
40.4575678,-79.9213405,Aurelia Street,15206,6338, , , 
40.4575758,-79.9213807,Aurelia Street,15206,6336, , , 
