lat,lon,street,postcode,housenumber,city,state,country
40.4734413,-79.9267165,Avondale Place,15206,5544, , , 
40.4734988,-79.9268442,Avondale Place,15206,5540, , , 
40.4735015,-79.9267407,Avondale Place,15206,5542, , , 
40.4739451,-79.9270096,Avondale Place,15206,5535, , , 
40.4739675,-79.9270736,Avondale Place,15206,5533, , , 
40.4739891,-79.9285258,Avondale Place,15206,5438, , , 
40.4740021,-79.9271761,Avondale Place,15206,5529, , , 
40.474003,-79.9273649,Avondale Place,15206,5525, , , 
40.4740251,-79.9272398,Avondale Place,15206,5527, , , 
40.4741239,-79.9274918,Avondale Place,15206,5517, , , 
40.4741347,-79.9275259,Avondale Place,15206,5519, , , 
40.4741467,-79.9275644,Avondale Place,15206,5515, , , 
40.4741946,-79.9277145,Avondale Place,15206,5511, , , 
40.4742273,-79.9278022,Avondale Place,15206,5509, , , 
40.4742329,-79.9291086,Avondale Place,15206,5424, , , 
40.4742481,-79.9278661,Avondale Place,15206,5507, , , 
40.4742787,-79.9279441,Avondale Place,15206,5505, , , 
