lat,lon,street,postcode,housenumber,city,state,country
40.4889355,-79.9301474,Baker Street,15206,6615, , , 
40.4889306,-79.9295488,Baker Street,15206,6620, , , 
40.4883661,-79.9252603,Baker Street,15206,6904, , , 
40.4883457,-79.9251629,Baker Street,15206,6908, , , 
40.4883343,-79.9251115,Baker Street,15206,6910, , , 
40.4879551,-79.9248353,Baker Street,15206,6818, , , 
40.4877621,-79.9227461,Baker Street,15206,7213, , , 
40.4877655,-79.9226498,Baker Street,15206,7215, , , 
40.4874372,-79.9204239,Baker Street,15206,7343, , , 
40.4876026,-79.9211801,Baker Street,15206,7313, , , 
