lat,lon,street,postcode,housenumber,city,state,country
40.4601785,-79.9288253,Baum Boulevard,15206,5855, , , 
40.4596994,-79.9286495,Baum Boulevard,15206,5856, , , 
40.459719,-79.9285857,Baum Boulevard,15206,5858, , , 
40.4597801,-79.9281391,Baum Boulevard,15206,5874, , , 
40.4604462,-79.9257222,Baum Boulevard,15206,5960, , , 
40.4604562,-79.9256301,Baum Boulevard,15206,5964, , , 
40.4586358,-79.9324108,Baum Boulevard,15206,5738,Pittsburgh,PA,US
40.4586619,-79.932325,Baum Boulevard,15206,5740,Pittsburgh,PA,US
40.4586289,-79.932325,Baum Boulevard,15206,5742, , , 
40.4601835,-79.9288243,Baum Boulevard,15206,5845, , , 
40.4604671,-79.9259116,Baum Boulevard,15206,5956, , , 
40.4604696,-79.9256741,Baum Boulevard,15206,5962, , , 
40.4582031,-79.9353477,Baum Boulevard,15206,5607, , , 
