lat,lon,street,postcode,housenumber,city,state,country
40.4891319,-80.0160046,Baytree Street,15214,3805, , , 
40.4891944,-80.0159395,Baytree Street,15214,3807, , , 
40.4889394,-80.0145912,Baytree Street,15214,3726, , , 
40.488974,-80.0145172,Baytree Street,15214,3720, , , 
40.4889273,-80.0145052,Baytree Street,15214,3724, , , 
40.4889218,-80.0144342,Baytree Street,15214,3722, , , 
40.4889487,-80.0140445,Baytree Street,15214,3712, , , 
40.4884531,-80.0126252,Baytree Street,15214,3655, , , 
40.4887284,-80.011197,Baytree Street,15214,3634, , , 
40.4887138,-80.011203,Baytree Street,15214,3618, , , 
40.488506,-80.0126436,Baytree Street,15214,3657, , , 
