lat,lon,street,postcode,housenumber,city,state,country
40.4509002,-79.9176958,Beechwood Boulevard,15206,1064, , , 
40.4512093,-79.9176087,Beechwood Boulevard,15206,1054, , , 
40.4505761,-79.9170086,Beechwood Boulevard,15206,1091, , , 
40.4510338,-79.916587,Beechwood Boulevard,15206,1071, , , 
40.4512031,-79.9164296,Beechwood Boulevard,15206,1065, , , 
40.4513358,-79.9162358,Beechwood Boulevard,15206,1059, , , 
40.4485522,-79.9185743,Beechwood Boulevard,15206,1201, , , 
40.4501786,-79.9183228,Beechwood Boulevard,15206,1144, , , 
40.4475671,-79.9182482,Beechwood Boulevard,15206,1195, , , 
40.4470936,-79.9182079,Beechwood Boulevard,15206,1257, , , 
40.4466607,-79.9181138,Beechwood Boulevard,15206,1271, , , 
40.4468583,-79.9181072,Beechwood Boulevard,15206,1265, , , 
40.4465533,-79.9180758,Beechwood Boulevard,15206,1275, , , 
40.4481441,-79.9194575,Beechwood Boulevard,15206,1210, , , 
40.448801,-79.9194201,Beechwood Boulevard,15206,1190, , , 
40.447938,-79.9193769,Beechwood Boulevard,15206,1216, , , 
40.4483854,-79.9193726,Beechwood Boulevard,15206,1200, , , 
40.4475649,-79.9192301,Beechwood Boulevard,15206,1228, , , 
40.4474189,-79.9191798,Beechwood Boulevard,15206,1234, , , 
40.4472343,-79.9191375,Beechwood Boulevard,15206,1244, , , 
40.4470667,-79.9190441,Beechwood Boulevard,15206,1250, , , 
40.4500839,-79.9188909,Beechwood Boulevard,15206,1160, , , 
40.4469405,-79.9189771,Beechwood Boulevard,15206,1256, , , 
40.446301,-79.9188193,Beechwood Boulevard,15206,1280, , , 
