lat,lon,street,postcode,housenumber,city
25.7846448,-80.1901094,Biscayne Boulevard,33132,1040,Miami
25.786319,-80.1895988,Biscayne Boulevard,33132,1200,Miami
25.7864887,-80.1895606,Biscayne Boulevard,33132,1220,Miami
25.7885767,-80.1888544,Biscayne Boulevard,33132,1401,Miami
25.7867484,-80.1887632,Biscayne Boulevard,33132,1237,Miami
25.7878596,-80.1885974,Biscayne Boulevard,33132,1351,Miami
25.7873445,-80.1885511,Biscayne Boulevard,33132,1301,Miami
25.786176,-80.185574,Biscayne Boulevard,33132,1191,Miami
25.7898977,-80.1887331,Biscayne Boulevard,33132,1501,Miami
25.7913248,-80.1886189,Biscayne Boulevard,33132,1645,Miami
25.791841,-80.1885022,Biscayne Boulevard,33132,1601,Miami
25.7889244,-80.1894906,Biscayne Boulevard,33132,1442,Miami
25.7889776,-80.18993,Biscayne Boulevard,33132,1490,Miami
25.7890753,-80.1893508,Biscayne Boulevard,33132,1440,Miami
25.7893081,-80.1893413,Biscayne Boulevard,33132,1444,Miami
25.79282,-80.1885564,Biscayne Boulevard,33132,1751,Miami
25.7928361,-80.1887845,Biscayne Boulevard,33132,1761,Miami
25.7929722,-80.1887959,Biscayne Boulevard,33132,1771,Miami
25.7931083,-80.1887901,Biscayne Boulevard,33132,1777,Miami
25.7943744,-80.1887341,Biscayne Boulevard,33132,1825,Miami
25.7917898,-80.1892552,Biscayne Boulevard,33132,1700,Miami
25.7951069,-80.189261,Biscayne Boulevard,33132,1900,Miami
25.796805,-80.1888137,Biscayne Boulevard,33137,2075,Miami
25.7979613,-80.1886111,Biscayne Boulevard,33137,2125,Miami
25.798357,-80.188844,Biscayne Boulevard,33137,2201,Miami
25.7984964,-80.1888373,Biscayne Boulevard,33137,2219,Miami
25.7986498,-80.1888583,Biscayne Boulevard,33137,2227,Miami
25.798702,-80.188863,Biscayne Boulevard,33137,2229,Miami
25.7996642,-80.188892,Biscayne Boulevard,33137,2347,Miami
25.7997373,-80.1888923,Biscayne Boulevard,33137,2365,North Miami
25.799811,-80.1888854,Biscayne Boulevard,33137,2375,North Miami
25.7998928,-80.188884,Biscayne Boulevard,33137,2385,Miami
25.7953167,-80.1892899,Biscayne Boulevard,33132,1920,Miami
25.7968492,-80.1894514,Biscayne Boulevard,33137,2060,Miami
25.8003291,-80.1889342,Biscayne Boulevard,33137,2401,Miami
25.8003619,-80.1889359,Biscayne Boulevard,33137,2405,Miami
25.8003964,-80.1889366,Biscayne Boulevard,33137,2409,Miami
25.8004239,-80.1889384,Biscayne Boulevard,33137,2413,Miami
25.8004557,-80.1889382,Biscayne Boulevard,33137,2415,Miami
25.8004912,-80.1889419,Biscayne Boulevard,33137,2421,Miami
25.8005204,-80.1889436,Biscayne Boulevard,33137,2427,Miami
25.8005514,-80.1889444,Biscayne Boulevard,33137,2435,Miami
25.8007503,-80.1889483,Biscayne Boulevard,33137,2419,Miami
25.8012088,-80.1888646,Biscayne Boulevard,33137,2501,Miami
25.8015209,-80.1889098,Biscayne Boulevard,33137,2521,Miami
25.7999742,-80.1888963,Biscayne Boulevard,33137,2395,Miami
25.8013681,-80.1889017,Biscayne Boulevard,33137,2511,Miami
