lat,lon,street,postcode,housenumber,city,state,country
40.468791,-79.9282917,Black Street,15206,5556, , , 
40.4693671,-79.9284772,Black Street,15206,5543, , , 
40.4673546,-79.9240605,Black Street,15206,5818, , , 
40.4674352,-79.9242763,Black Street,15206,5810, , , 
40.4674483,-79.924336,Black Street,15206,5808, , , 
40.4689608,-79.9288534,Black Street,15206,5532, , , 
40.4692425,-79.9294658,Black Street,15206,5514, , , 
40.469452,-79.930192,Black Street,15206,5478, , , 
40.4694877,-79.9302938,Black Street,15206,5476, , , 
40.4695919,-79.9289648,Black Street,15206,5525, , , 
40.4697733,-79.9311088,Black Street,15206,5456, , , 
40.4698089,-79.9312012,Black Street,15206,5454, , , 
40.4698454,-79.9312916,Black Street,15206,5452, , , 
40.4701334,-79.9306652,Black Street,15206,5457, , , 
40.4673721,-79.9241243,Black Street,15206,5816, , , 
40.4674083,-79.9242323,Black Street,15206,5812, , , 
