lat,lon,street,postcode,housenumber,city,state,country
40.4901591,-80.0154871,Bonvue Street,15214,204, , , 
40.4901651,-80.0155606,Bonvue Street,15214,202, , , 
40.4902217,-80.0162175,Bonvue Street,15214,104, , , 
40.4903302,-80.0174734,Bonvue Street,15214,26, , , 
40.4903753,-80.0177368,Bonvue Street,15214,20, , , 
40.4898987,-80.0163458,Bonvue Street,15214,113, , , 
40.4898918,-80.016265,Bonvue Street,15214,115, , , 
40.4898495,-80.0160528,Bonvue Street,15214,119, , , 
40.4898424,-80.0159691,Bonvue Street,15214,121, , , 
40.4898189,-80.015822,Bonvue Street,15214,125, , , 
40.4898333,-80.0156923,Bonvue Street,15214,131, , , 
40.4898284,-80.0156328,Bonvue Street,15214,201, , , 
