lat,lon,street,postcode,housenumber,city,state,country
40.4670297,-79.9245623,Borland Street,15206,512, , , 
40.4670332,-79.9245653,Borland Street,15206,514, , , 
40.4670593,-79.9245378,Borland Street,15206,516, , , 
40.465877,-79.9252212,Borland Street,15206,414, , , 
40.4659351,-79.9252105,Borland Street,15206,416, , , 
40.4659575,-79.925172,Borland Street,15206,418, , , 
40.4660157,-79.9251466,Borland Street,15206,420, , , 
40.466155,-79.925081,Borland Street,15206,426, , , 
40.4661867,-79.9250331,Borland Street,15206,428, , , 
40.4662266,-79.9250275,Borland Street,15206,430, , , 
