lat,lon,street,postcode,housenumber,city,state,country
40.4680564,-79.9000871,Brainard Street,15206,6617, , , 
40.4678697,-79.9000312,Brainard Street,15206,6621, , , 
40.4683511,-79.9016371,Brainard Street,15206,6504, , , 
40.4683992,-79.9017497,Brainard Street,15206,6502, , , 
40.4679743,-79.9009326,Brainard Street,15206,6602, , , 
40.4679388,-79.9008319,Brainard Street,15206,6604, , , 
40.4677952,-79.9007403,Brainard Street,15206,6608, , , 
40.4678314,-79.9006106,Brainard Street,15206,6610, , , 
40.4677052,-79.9003689,Brainard Street,15206,6616, , , 
40.4676402,-79.9002051,Brainard Street,15206,6626, , , 
