lat,lon,street,postcode,housenumber,city,state,country
40.4615644,-80.0187042,Brightridge Street,15214,861,Pittsburgh,PA,US
40.4616015,-80.0186469,Brightridge Street,15214,857,Pittsburgh,PA,US
40.4616296,-80.0186108,Brightridge Street,15214,853,Pittsburgh,PA,US
40.4617019,-80.0185665,Brightridge Street,15214,847,Pittsburgh,PA,US
40.4617548,-80.018501,Brightridge Street,15214,845,Pittsburgh,PA,US
40.4617617,-80.018864,Brightridge Street,15214,858,Pittsburgh,PA,US
40.4617882,-80.0188275,Brightridge Street,15214,856,Pittsburgh,PA,US
40.4618043,-80.0184542,Brightridge Street,15214,843,Pittsburgh,PA,US
40.4618373,-80.0187626,Brightridge Street,15214,852,Pittsburgh,PA,US
40.4619119,-80.0186656,Brightridge Street,15214,842,Pittsburgh,PA,US
40.4620248,-80.0185087,Brightridge Street,15214,836,Pittsburgh,PA,US
40.4627146,-80.0175839,Brightridge Street,15214,800,Pittsburgh,PA,US
40.4626415,-80.0172241,Brightridge Street,15214,737,Pittsburgh,PA,US
40.4629184,-80.0171503,Brightridge Street,15214,728,Pittsburgh,PA,US
40.4626543,-80.0170472,Brightridge Street,15214,735,Pittsburgh,PA,US
40.462826,-80.0167068,Brightridge Street,15214,723,Pittsburgh,PA,US
40.4632859,-80.0166378,Brightridge Street,15214,21,Pittsburgh,PA,US
40.4630297,-80.0163459,Brightridge Street,15214,715,Pittsburgh,PA,US
