lat,lon,street,postcode,housenumber,city,state,country
40.4654264,-79.9326626,Broad Street,15206,5485, , , 
40.4647517,-79.931303,Broad Street,15206,5512, , , 
40.465032,-79.9310701,Broad Street,15206,5515, , , 
40.4649835,-79.930947,Broad Street,15206,5517, , , 
40.4649636,-79.9308964,Broad Street,15206,5519, , , 
40.4642319,-79.9296831,Broad Street,15206,5614, , , 
40.4642028,-79.9295977,Broad Street,15206,5616, , , 
40.464769,-79.9288384,Broad Street,15206,5653, , , 
40.4642046,-79.9288313,Broad Street,15206,5647, , , 
40.4619963,-79.9238942,Broad Street,15206,6018, , , 
40.4620957,-79.9236897,Broad Street,15206,6012, , , 
40.4620823,-79.9225194,Broad Street,15206,6113, , , 
40.4620271,-79.9222696,Broad Street,15206,6117, , , 
40.4621879,-79.9227119,Broad Street,15206,6101, , , 
40.4622789,-79.9242718,Broad Street,15206,6006, , , 
40.4621788,-79.9231808,Broad Street,15206,6033, , , 
40.4616952,-79.9216899,Broad Street,15206,6201, , , 
40.4614715,-79.9209728,Broad Street,15206,6229, , , 
40.4604067,-79.9179789,Broad Street,15206,6320, , , 
40.4618557,-79.9235158,Broad Street,15206,6026, , , 
40.4639436,-79.9295253,Broad Street,15206,5630, , , 
40.4642552,-79.9289598,Broad Street,15206,5641, , , 
40.4643257,-79.9298958,Broad Street,15206,5608, , , 
40.464389,-79.9292453,Broad Street,15206,5621, , , 
40.4644905,-79.9296753,Broad Street,15206,5609, , , 
40.4645572,-79.9297914,Broad Street,15206,5607, , , 
40.46521,-79.9342356,Broad Street,15206,5444, , , 
40.465218,-79.934,Broad Street,15206,5450, , , 
40.465225,-79.9344022,Broad Street,15206,5440, , , 
40.465255,-79.9336694,Broad Street,15206,5, , , 
40.4652682,-79.9339625,Broad Street,15206,5, , , 
40.4653202,-79.9350297,Broad Street,15206,5420, , , 
40.4655035,-79.933525,Broad Street,15206,5463, , , 
40.4655664,-79.9341641,Broad Street,15206,5445, , , 
40.4655728,-79.934234,Broad Street,15206,5443, , , 
40.4656527,-79.9353536,Broad Street,15206,5407, , , 
