lat,lon,street,postcode,housenumber,city,state,country
40.4746741,-79.8889516,Broadcrest Drive,15206,113, , , 
40.4751945,-79.8887146,Broadcrest Drive,15206,134, , , 
40.4744628,-79.8885925,Broadcrest Drive,15206,122, , , 
40.475125,-79.8885492,Broadcrest Drive,15206,132, , , 
40.4748485,-79.8883452,Broadcrest Drive,15206,128, , , 
40.4745265,-79.8896592,Broadcrest Drive,15206,129, , , 
40.4750717,-79.8895596,Broadcrest Drive,15206,144, , , 
40.4746188,-79.889509,Broadcrest Drive,15206,127, , , 
40.4752247,-79.889498,Broadcrest Drive,15206,142, , , 
40.474703,-79.8893818,Broadcrest Drive,15206,125, , , 
40.4748068,-79.8892323,Broadcrest Drive,15206,123, , , 
40.4744305,-79.8891355,Broadcrest Drive,15206,109, , , 
40.4745566,-79.8890392,Broadcrest Drive,15206,111, , , 
40.4740292,-79.8900594,Broadcrest Drive,15206,162, , , 
40.4741368,-79.8901955,Broadcrest Drive,15206,160, , , 
40.4743021,-79.8903007,Broadcrest Drive,15206,158, , , 
40.47446,-79.8902975,Broadcrest Drive,15206,156, , , 
40.4745853,-79.8902209,Broadcrest Drive,15206,154, , , 
40.4747023,-79.8900844,Broadcrest Drive,15206,152, , , 
40.4747784,-79.8899354,Broadcrest Drive,15206,150, , , 
