lat,lon,street,postcode,housenumber,city,state,country
40.470028,-79.8897829,Broadhead Street,15206,1670, , , 
40.4705291,-79.8894572,Broadhead Street,15206,1690, , , 
40.470294,-79.8893717,Broadhead Street,15206,1686, , , 
40.4703556,-79.8893194,Broadhead Street,15206,1688, , , 
40.469015,-79.8910785,Broadhead Street,15206,1618, , , 
40.4693033,-79.891034,Broadhead Street,15206,1625, , , 
40.4693997,-79.8908821,Broadhead Street,15206,1635, , , 
40.4695865,-79.8907177,Broadhead Street,15206,1641, , , 
40.4696852,-79.890088,Broadhead Street,15206,1656, , , 
40.469748,-79.8900325,Broadhead Street,15206,1658, , , 
40.4698102,-79.889978,Broadhead Street,15206,1660, , , 
40.4698181,-79.8905136,Broadhead Street,15206,1653, , , 
40.4699232,-79.8903997,Broadhead Street,15206,1657, , , 
40.4701757,-79.8903459,Broadhead Street,15206,1663, , , 
40.4702119,-79.8901414,Broadhead Street,15206,1669, , , 
40.47027,-79.89009,Broadhead Street,15206,1673, , , 
40.4704549,-79.89007,Broadhead Street,15206,1675, , , 
40.47063,-79.8898519,Broadhead Street,15206,1683, , , 
40.470631,-79.8898541,Broadhead Street,15206,1685, , , 
40.4696464,-79.8906707,Broadhead Street,15206,1645, , , 
40.4680068,-79.8933262,Broadhead Street,15206,1514, , , 
40.4680182,-79.8932467,Broadhead Street,15206,1516, , , 
40.4681175,-79.8931337,Broadhead Street,15206,1522, , , 
40.468295,-79.892754,Broadhead Street,15206,1536, , , 
40.4684109,-79.8933013,Broadhead Street,15206,1529, , , 
40.4684314,-79.8924901,Broadhead Street,15206,1542, , , 
40.4684511,-79.8924073,Broadhead Street,15206,1546, , , 
40.468489,-79.8922744,Broadhead Street,15206,1548, , , 
40.4685181,-79.8922416,Broadhead Street,15206,1552, , , 
40.4685852,-79.8920765,Broadhead Street,15206,1558, , , 
40.46863,-79.8928153,Broadhead Street,15206,1543, , , 
40.4687296,-79.8917795,Broadhead Street,15206,1600, , , 
40.4687609,-79.8925516,Broadhead Street,15206,1553, , , 
40.4687612,-79.8917046,Broadhead Street,15206,1602, , , 
40.4687885,-79.8916231,Broadhead Street,15206,1604, , , 
40.4687945,-79.8923974,Broadhead Street,15206,1559, , , 
40.4688468,-79.8922549,Broadhead Street,15206,1561, , , 
40.4689951,-79.8911576,Broadhead Street,15206,1616, , , 
40.4689994,-79.891861,Broadhead Street,15206,1601, , , 
40.4690408,-79.8917753,Broadhead Street,15206,1605, , , 
40.4681039,-79.8937585,Broadhead Street,15206,1515, , , 
40.4683085,-79.8934317,Broadhead Street,15206,1525, , , 
