lat,lon,street,postcode,housenumber,city,state,country
40.3985571,-80.0350652,Broadway Avenue,15216,2816, , , 
40.3985929,-80.0351325,Broadway Avenue,15216,2814, , , 
40.3986599,-80.0350597,Broadway Avenue,15216,2808, , , 
40.3986979,-80.0349842,Broadway Avenue,15216,2810, , , 
40.3987011,-80.0350758,Broadway Avenue,15216,2812, , , 
40.3987602,-80.0349205,Broadway Avenue,15216,2806.5, , , 
40.3987648,-80.0348959,Broadway Avenue,15216,2806, , , 
40.3988747,-80.0347261,Broadway Avenue,15216,2802, , , 
40.3988834,-80.0347275,Broadway Avenue,15216,2800, , , 
40.3991102,-80.0345919,Broadway Avenue,15216,2750, , , 
40.3983947,-80.0351836,Broadway Avenue,15216,2824, , , 
40.3984363,-80.0352041,Broadway Avenue,15216,2820, , , 
40.3984411,-80.0351421,Broadway Avenue,15216,2822, , , 
40.3992329,-80.0334535,Broadway Avenue,15216,2725, , , 
40.399387,-80.0333704,Broadway Avenue,15216,2717, , , 
40.399353,-80.0333229,Broadway Avenue,15216,2719, , , 
40.3996315,-80.0330148,Broadway Avenue,15216,2705, , , 
40.3997917,-80.0328985,Broadway Avenue,15216,2701, , , 
40.3997162,-80.0328683,Broadway Avenue,15216,2705, , , 
40.4005309,-80.0318564,Broadway Avenue,15216,2605, , , 
40.4033786,-80.0310302,Broadway Avenue,15216,2214, , , 
40.4033541,-80.0309364,Broadway Avenue,15216,2216, , , 
40.3991915,-80.0344398,Broadway Avenue,15216,2744, , , 
40.3992782,-80.0343278,Broadway Avenue,15216,2736, , , 
40.399484,-80.0340988,Broadway Avenue,15216,2730, , , 
40.3991211,-80.033528,Broadway Avenue,15216,2729, , , 
40.3991404,-80.033524,Broadway Avenue,15216,2727, , , 
