lat,lon,street,postcode,housenumber,city,state,country
40.4775276,-79.9253587,Bryant Street,15206,5528, , , 
40.4782067,-79.9256193,Bryant Street,15206,5509, , , 
40.4765475,-79.921201,Bryant Street,15206,5703, , , 
40.4771924,-79.9229912,Bryant Street,15206,5619, , , 
40.4776467,-79.9254963,Bryant Street,15206,5520, , , 
40.4777606,-79.9244762,Bryant Street,15206,5549, , , 
40.4778177,-79.9246837,Bryant Street,15206,5545, , , 
40.4781291,-79.9254396,Bryant Street,15206,5521, , , 
40.4782607,-79.9258451,Bryant Street,15206,5503, , , 
40.4775938,-79.9255053,Bryant Street,15206,5522, , , 
40.4780079,-79.9253256,Bryant Street,15206,5527, , , 
40.4763072,-79.9208387,Bryant Street,15206,5721, , , 
40.4763109,-79.9208331,Bryant Street,15206,5719, , , 
40.4758895,-79.9207098,Bryant Street,15206,5802, , , 
40.4759566,-79.9206926,Bryant Street,15206,5800, , , 
40.4758114,-79.9204675,Bryant Street,15206,5806, , , 
40.4762946,-79.920226,Bryant Street,15206,5805, , , 
40.4760799,-79.920195,Bryant Street,15206,5807, , , 
40.4756557,-79.9200918,Bryant Street,15206,5820, , , 
40.4754254,-79.9197201,Bryant Street,15206,5904, , , 
40.475436,-79.9196101,Bryant Street,15206,5906, , , 
40.4758928,-79.9192613,Bryant Street,15206,5909, , , 
40.4758435,-79.919155,Bryant Street,15206,5911, , , 
40.4756347,-79.9190149,Bryant Street,15206,5917, , , 
40.4778114,-79.9258752,Bryant Street,15206,5508, , , 
40.4778329,-79.9259338,Bryant Street,15206,5506, , , 
