lat,lon,street,postcode,housenumber,city,state,country
40.4893791,-79.9295439,Butler Street,15206,6618, , , 
40.4893479,-79.9289531,Butler Street,15206,6634, , , 
40.4892931,-79.9277412,Butler Street,15206,6722, , , 
40.4892309,-79.9271058,Butler Street,15206,6804, , , 
40.4892008,-79.9269707,Butler Street,15206,6808, , , 
40.4890391,-79.9262653,Butler Street,15206,6828, , , 
40.4889763,-79.9259989,Butler Street,15206,6836, , , 
40.4889416,-79.9258449,Butler Street,15206,6840, , , 
40.4886275,-79.9227747,Butler Street,15206,7213, , , 
40.4885047,-79.9223262,Butler Street,15206,7225, , , 
40.4884138,-79.9219493,Butler Street,15206,7231, , , 
40.4884095,-79.9219258,Butler Street,15206,7233, , , 
40.4701255,-79.9604562,Butler Street,restaurant,4130, , , 
40.4882175,-79.9211302,Butler Street,15206,7307, , , 
40.4878678,-79.92102,Butler Street,15206,7308, , , 
40.4882386,-79.9209705,Butler Street,15206,7311, , , 
40.4878576,-79.9209481,Butler Street,15206,7310, , , 
40.4878441,-79.9208916,Butler Street,15206,7312, , , 
40.4876146,-79.9204659,Butler Street,15206,7324, , , 
40.4876886,-79.9203536,Butler Street,15206,7326, , , 
40.4695705,-79.9609502,Butler Street,lawyer,4106, , , 
