lat,lon,street,postcode,housenumber,city,state,country
40.4781851,-79.9210732,Callowhill Street,15206,5649, , , 
40.4781613,-79.9210102,Callowhill Street,15206,5651, , , 
40.4781361,-79.9209454,Callowhill Street,15206,5653, , , 
40.4780854,-79.9208118,Callowhill Street,15206,5657, , , 
40.4776659,-79.9207606,Callowhill Street,15206,5700, , , 
40.4776447,-79.920721,Callowhill Street,15206,5702, , , 
40.4775967,-79.9205566,Callowhill Street,15206,5704, , , 
40.4780325,-79.9205142,Callowhill Street,15206,5701, , , 
40.4779692,-79.9204931,Callowhill Street,15206,5703, , , 
40.4778832,-79.920203,Callowhill Street,15206,5711, , , 
40.4777701,-79.9200965,Callowhill Street,15206,5715, , , 
40.4778514,-79.9200819,Callowhill Street,15206,5713, , , 
40.4778834,-79.9213756,Callowhill Street,15206,5646, , , 
40.4778235,-79.921351,Callowhill Street,15206,5648, , , 
