lat,lon,street,postcode,housenumber,city,state,country
40.4704215,-79.8887732,Campania Street,15206,7281, , , 
40.4709574,-79.8898012,Campania Street,15206,7258, , , 
40.4708839,-79.8897503,Campania Street,15206,7260, , , 
40.4702296,-79.8891421,Campania Street,15206,7284, , , 
40.4710319,-79.8898974,Campania Street,15206,7254, , , 
40.471329,-79.8901794,Campania Street,15206,7246, , , 
40.4715539,-79.8898352,Campania Street,15206,7239, , , 
40.4722291,-79.8918072,Campania Street,15206,7122, , , 
40.4723432,-79.8918906,Campania Street,15206,7116, , , 
40.4724386,-79.8921827,Campania Street,15206,7106, , , 
40.47253,-79.8923917,Campania Street,15206,7102, , , 
40.4726564,-79.8925492,Campania Street,15206,7082, , , 
40.4728039,-79.8926758,Campania Street,15206,7078, , , 
40.4730489,-79.8923344,Campania Street,15206,7073, , , 
40.4733786,-79.8931068,Campania Street,15206,7054, , , 
40.4734355,-79.8925423,Campania Street,15206,7057, , , 
40.4735785,-79.8926454,Campania Street,15206,7053, , , 
40.4736557,-79.8932677,Campania Street,15206,7044, , , 
40.4739877,-79.8928511,Campania Street,15206,7039, , , 
40.4740983,-79.8929262,Campania Street,15206,7035, , , 
40.474837,-79.893517,Campania Street,15206,7021, , , 
