lat,lon,street,postcode,housenumber,city,state,country
40.4652077,-79.916044,Carver Street,15206,40, , , 
40.4651288,-79.9159027,Carver Street,15206,44, , , 
40.4650002,-79.9158195,Carver Street,15206,48, , , 
40.4654602,-79.915785,Carver Street,15206,37, , , 
40.4642724,-79.9149469,Carver Street,15206,112, , , 
40.4646039,-79.9146955,Carver Street,15206,111, , , 
40.4640195,-79.9146731,Carver Street,15206,134, , , 
40.4645561,-79.9146361,Carver Street,15206,113, , , 
40.4655543,-79.9159084,Carver Street,15206,33, , , 
40.4652538,-79.9161041,Carver Street,15206,38, , , 
40.4659709,-79.9168573,Carver Street,15206,8, , , 
40.4618829,-79.9122666,Carver Street,15206,226, , , 
40.4617639,-79.9121264,Carver Street,15206,220, , , 
40.4613776,-79.9114953,Carver Street,15206,310, , , 
40.4613558,-79.9113706,Carver Street,15206,312, , , 
40.462856,-79.9135605,Carver Street,15206,174, , , 
40.4630654,-79.9135412,Carver Street,15206,168, , , 
40.462989,-79.9134807,Carver Street,15206,172, , , 
40.4623325,-79.9127921,Carver Street,15206,212, , , 
40.4622668,-79.9127436,Carver Street,15206,218, , , 
40.4622382,-79.912683,Carver Street,15206,216, , , 
40.4620282,-79.9124868,Carver Street,15206,224, , , 
40.4624157,-79.9123543,Carver Street,15206,6423, , , 
40.4623646,-79.9122779,Carver Street,15206,6425, , , 
40.4622958,-79.9122017,Carver Street,15206,6429, , , 
40.4622091,-79.912065,Carver Street,15206,6433, , , 
40.4621075,-79.9119756,Carver Street,15206,239, , , 
40.4632366,-79.9132753,Carver Street,15206,165, , , 
40.4633017,-79.9138727,Carver Street,15206,156, , , 
40.4634223,-79.9139706,Carver Street,15206,154, , , 
40.4634724,-79.9140397,Carver Street,15206,152, , , 
40.4636172,-79.9141975,Carver Street,15206,146, , , 
40.4638717,-79.9144998,Carver Street,15206,140, , , 
40.4640212,-79.9140354,Carver Street,15206,141, , , 
40.4642086,-79.9143226,Carver Street,15206,135, , , 
40.4643771,-79.9145214,Carver Street,15206,127, , , 
