lat,lon,street,postcode,housenumber,city,state,country
40.4709238,-79.8990287,Chaney Court,15206,1330, , , 
40.4709573,-79.899115,Chaney Court,15206,1332, , , 
40.4709755,-79.8989045,Chaney Court,15206,1322, , , 
40.471011,-79.8990197,Chaney Court,15206,1326, , , 
40.4710784,-79.8993202,Chaney Court,15206,1327, , , 
40.471168,-79.8992709,Chaney Court,15206,1323, , , 
40.4712695,-79.8994133,Chaney Court,15206,1311, , , 
40.4712945,-79.8988788,Chaney Court,15206,1314, , , 
40.4709389,-79.8989681,Chaney Court,15206,1330, , , 
40.4713258,-79.8989804,Chaney Court,15206,1310, , , 
40.4713408,-79.8993714,Chaney Court,15206,1307, , , 
