lat,lon,street,postcode,housenumber,city,state,country
40.4638643,-80.0186791,Chautauqua Court,15214,733,Pittsburgh,PA,US
40.4639213,-80.0186979,Chautauqua Court,15214,735,Pittsburgh,PA,US
40.4639726,-80.0187144,Chautauqua Court,15214,737,Pittsburgh,PA,US
40.4640146,-80.0187273,Chautauqua Court,15214,739,Pittsburgh,PA,US
40.4641899,-80.0186369,Chautauqua Court,15214,741,Pittsburgh,PA,US
40.4641961,-80.0186047,Chautauqua Court,15214,743,Pittsburgh,PA,US
40.4642216,-80.0184657,Chautauqua Court,15214,749,Pittsburgh,PA,US
40.4642301,-80.0184214,Chautauqua Court,15214,751,Pittsburgh,PA,US
40.464239,-80.0183775,Chautauqua Court,15214,753,Pittsburgh,PA,US
40.4642476,-80.0183303,Chautauqua Court,15214,755,Pittsburgh,PA,US
40.4636218,-80.0182852,Chautauqua Court,15214,719,Pittsburgh,PA,US
40.4642651,-80.0182371,Chautauqua Court,15214,759,Pittsburgh,PA,US
40.4636493,-80.0181449,Chautauqua Court,15214,713,Pittsburgh,PA,US
40.4636649,-80.0180623,Chautauqua Court,15214,709,Pittsburgh,PA,US
40.4636743,-80.0180173,Chautauqua Court,15214,707,Pittsburgh,PA,US
40.463692,-80.0179263,Chautauqua Court,15214,703,Pittsburgh,PA,US
40.4637046,-80.0178627,Chautauqua Court,15214,701,Pittsburgh,PA,US
40.4636514,-80.018199,Chautauqua Court,15214,715,Pittsburgh,PA,US
40.4635882,-80.0184588,Chautauqua Court,15214,727,Pittsburgh,PA,US
40.4642568,-80.0182821,Chautauqua Court,15214,757,Pittsburgh,PA,US
