lat,lon,street,postcode,housenumber,city,state,country
40.4641358,-80.0177837,Chautauqua Street,15214,632,Pittsburgh,PA,US
40.4638434,-80.0177696,Chautauqua Street,15214,637,Pittsburgh,PA,US
40.4641551,-80.0177398,Chautauqua Street,15214,630,Pittsburgh,PA,US
40.4638636,-80.0176894,Chautauqua Street,15214,635,Pittsburgh,PA,US
40.4641776,-80.0176834,Chautauqua Street,15214,628,Pittsburgh,PA,US
40.4638401,-80.0176702,Chautauqua Street,15214,631,Pittsburgh,PA,US
40.4638981,-80.0176104,Chautauqua Street,15214,633,Pittsburgh,PA,US
40.4642212,-80.0175738,Chautauqua Street,15214,626,Pittsburgh,PA,US
40.464242,-80.0175223,Chautauqua Street,15214,624,Pittsburgh,PA,US
40.4639275,-80.0174726,Chautauqua Street,15214,629,Pittsburgh,PA,US
40.4639388,-80.0174118,Chautauqua Street,15214,627,Pittsburgh,PA,US
40.4639531,-80.0173983,Chautauqua Street,15214,625,Pittsburgh,PA,US
40.4639708,-80.0173353,Chautauqua Street,15214,623,Pittsburgh,PA,US
40.4644694,-80.0172276,Chautauqua Street,15214,616,Pittsburgh,PA,US
40.4640362,-80.0171786,Chautauqua Street,15214,621,Pittsburgh,PA,US
40.4640507,-80.0171413,Chautauqua Street,15214,619,Pittsburgh,PA,US
40.4640939,-80.017036,Chautauqua Street,15214,615,Pittsburgh,PA,US
40.4641153,-80.0169849,Chautauqua Street,15214,613,Pittsburgh,PA,US
40.4641377,-80.0169303,Chautauqua Street,15214,611,Pittsburgh,PA,US
40.4641588,-80.0168789,Chautauqua Street,15214,609,Pittsburgh,PA,US
40.4641306,-80.0167776,Chautauqua Street,15214,607,Pittsburgh,PA,US
40.4645931,-80.0167432,Chautauqua Street,15214,600,Pittsburgh,PA,US
40.4642403,-80.0165031,Chautauqua Street,15214,549,Pittsburgh,PA,US
40.4642681,-80.0164418,Chautauqua Street,15214,547,Pittsburgh,PA,US
40.4642908,-80.0163768,Chautauqua Street,15214,545,Pittsburgh,PA,US
40.4650115,-80.0159649,Chautauqua Street,15214,522,Pittsburgh,PA,US
40.4650938,-80.0155046,Chautauqua Street,15214,512,Pittsburgh,PA,US
40.4649744,-80.0147862,Chautauqua Street,15214,415,Pittsburgh,PA,US
