lat,lon,street,postcode,housenumber,city,state,country
40.4669769,-80.0128998,Chester Avenue,15214,231,Pittsburgh,PA,US
40.4673203,-80.0125126,Chester Avenue,15214,226,Pittsburgh,PA,US
40.4672886,-80.0122811,Chester Avenue,15214,218,Pittsburgh,PA,US
40.4673201,-80.0121142,Chester Avenue,15214,216,Pittsburgh,PA,US
40.4666504,-80.0164449,Chester Avenue,15214,522,Pittsburgh,PA,US
40.4668802,-80.0157336,Chester Avenue,15214,502,Pittsburgh,PA,US
40.466604,-80.0156351,Chester Avenue,15214,509,Pittsburgh,PA,US
40.4665738,-80.0156309,Chester Avenue,15214,511,Pittsburgh,PA,US
40.4669287,-80.0155695,Chester Avenue,15214,422,Pittsburgh,PA,US
40.4670491,-80.01531,Chester Avenue,15214,414,Pittsburgh,PA,US
40.4673013,-80.0147705,Chester Avenue,15214,400,Pittsburgh,PA,US
40.4652616,-80.0197148,Chester Avenue,15214,656,Pittsburgh,PA,US
40.4619773,-80.017013,Chester Avenue,15214,52,Pittsburgh,PA,US
40.4649679,-80.0183697,Chester Avenue,15214,660,Pittsburgh,PA,US
40.4649243,-80.0183635,Chester Avenue,15214,662,Pittsburgh,PA,US
40.4647006,-80.0182917,Chester Avenue,15214,672,Pittsburgh,PA,US
40.4645612,-80.0182449,Chester Avenue,15214,678,Pittsburgh,PA,US
40.4651284,-80.0179717,Chester Avenue,15214,651,Pittsburgh,PA,US
40.4648994,-80.0179266,Chester Avenue,15214,663,Pittsburgh,PA,US
40.4648421,-80.0179071,Chester Avenue,15214,665,Pittsburgh,PA,US
40.465709,-80.0178916,Chester Avenue,15214,630,Pittsburgh,PA,US
40.4658907,-80.0178276,Chester Avenue,15214,626,Pittsburgh,PA,US
40.4659767,-80.0168994,Chester Avenue,15214,605,Pittsburgh,PA,US
40.4664234,-80.0167339,Chester Avenue,15214,540,Pittsburgh,PA,US
40.4658629,-80.0167277,Chester Avenue,15214,604,Pittsburgh,PA,US
40.4664794,-80.0165675,Chester Avenue,15214,536,Pittsburgh,PA,US
40.4664949,-80.0165339,Chester Avenue,15214,534,Pittsburgh,PA,US
