lat,lon,street,postcode,housenumber,city,state,country
40.4763495,-80.0051207,Chicago Street,15214,4, , , 
40.4781119,-80.0016085,Chicago Street,15214,1306, , , 
40.478163,-80.0014826,Chicago Street,15214,1310, , , 
40.4782398,-80.001286,Chicago Street,15214,1220, , , 
40.4782883,-80.0011534,Chicago Street,15214,1224, , , 
40.4783136,-80.0010806,Chicago Street,15214,1226, , , 
40.478339,-80.0010142,Chicago Street,15214,1228, , , 
40.4783599,-80.0009563,Chicago Street,15214,1230, , , 
40.4784936,-80.00175,Chicago Street,15214,1315, , , 
40.4787348,-80.0015578,Chicago Street,15214,1329, , , 
40.478766,-79.9993625,Chicago Street,15214,1470, , , 
40.4788115,-79.9990608,Chicago Street,15214,1482, , , 
40.4788731,-80.0016494,Chicago Street,15214,1323, , , 
40.4789166,-80.0016743,Chicago Street,15214,1321, , , 
40.478924,-79.999107,Chicago Street,15214,1478, , , 
40.479023,-79.9991265,Chicago Street,15214,1474, , , 
40.4790347,-79.9994433,Chicago Street,15214,1460, , , 
40.4792869,-80.0004503,Chicago Street,15214,1419, , , 
40.4793249,-80.0001363,Chicago Street,15214,1439, , , 
40.4793367,-80.0004729,Chicago Street,15214,1417, , , 
40.479364,-80.0001573,Chicago Street,15214,1437, , , 
40.4794591,-80.0002234,Chicago Street,15214,1433, , , 
40.4795094,-80.0002496,Chicago Street,15214,1431, , , 
40.4795492,-80.0002779,Chicago Street,15214,1429, , , 
