lat,lon,street,postcode,housenumber,city,state,country
40.4704014,-79.9304902,Chislett Street,15206,625, , , 
40.4755789,-79.9297461,Chislett Street,15206,928, , , 
40.4824577,-79.9279882,Chislett Street,15206,1601, , , 
40.4832868,-79.9276993,Chislett Street,15206,1633, , , 
40.4838047,-79.9275247,Chislett Street,15206,1647, , , 
40.483075,-79.9272839,Chislett Street,15206,1618, , , 
40.4831902,-79.9272477,Chislett Street,15206,1624, , , 
40.4834391,-79.9271835,Chislett Street,15206,1632, , , 
40.4841687,-79.9269772,Chislett Street,15206,1670, , , 
40.4844013,-79.9267722,Chislett Street,15206,1706, , , 
40.4850021,-79.9268538,Chislett Street,15206,1719, , , 
40.4871557,-79.9244578,Chislett Street,15206,1917, , , 
40.4873037,-79.9238167,Chislett Street,15206,1933, , , 
40.4873717,-79.9237922,Chislett Street,15206,1935, , , 
40.48744,-79.9236966,Chislett Street,15206,1939, , , 
40.4870575,-79.9234182,Chislett Street,15206,1928, , , 
40.4870959,-79.9234054,Chislett Street,15206,1930, , , 
40.4871745,-79.9233741,Chislett Street,15206,1934, , , 
40.485215,-79.9264011,Chislett Street,15206,1731, , , 
40.4850546,-79.9259648,Chislett Street,15206,1736, , , 
40.4852957,-79.9262106,Chislett Street,15206,1739, , , 
40.4851433,-79.9258899,Chislett Street,15206,1742, , , 
40.4854349,-79.9261525,Chislett Street,15206,1743, , , 
40.4855974,-79.9258956,Chislett Street,15206,1801, , , 
40.4856546,-79.9257737,Chislett Street,15206,1803, , , 
40.4857357,-79.9256767,Chislett Street,15206,1809, , , 
40.485767,-79.9256364,Chislett Street,15206,1811, , , 
40.4860568,-79.9252775,Chislett Street,15206,1825, , , 
40.4860931,-79.9252319,Chislett Street,15206,1827, , , 
40.4864758,-79.9247685,Chislett Street,15206,1843, , , 
40.485326,-79.9261774,Chislett Street,15206,1741, , , 
40.4862557,-79.9249372,Chislett Street,15206,1837, , , 
40.4860191,-79.9253709,Chislett Street,15206,1819, , , 
40.4865426,-79.9247649,Chislett Street,15206,1849, , , 
40.4798442,-79.9288168,Chislett Street,15206,1203, , , 
40.4798868,-79.9288038,Chislett Street,15206,1203A, , , 
40.4800985,-79.9287275,Chislett Street,15206,1207, , , 
40.4812478,-79.9285435,Chislett Street,15206,1401, , , 
40.4831109,-79.9272171,Chislett Street,15206,1622, , , 
40.4832038,-79.9271827,Chislett Street,15206,1626, , , 
40.482471,-79.9279221,Chislett Street,15206,1603, , , 
40.483254,-79.9276655,Chislett Street,15206,1631, , , 
40.4837643,-79.9275406,Chislett Street,15206,1649, , , 
40.4838223,-79.9275216,Chislett Street,15206,1651, , , 
40.4838804,-79.9275027,Chislett Street,15206,1653, , , 
40.4852213,-79.9262808,Chislett Street,15206,1737, , , 
40.4801157,-79.9286752,Chislett Street,15206,5, , , 
40.4842134,-79.9269183,Chislett Street,15206,1672, , , 
40.4851441,-79.9259522,Chislett Street,15206,1740, , , 
40.4740566,-79.9302147,Chislett Street,15206,828, , , 
40.4740879,-79.9302038,Chislett Street,15206,830, , , 
40.4747691,-79.9299544,Chislett Street,15206,900, , , 
40.475026,-79.9303999,Chislett Street,15206,903, , , 
40.4750787,-79.9303826,Chislett Street,15206,905, , , 
40.4755525,-79.9297503,Chislett Street,15206,926, , , 
40.4757924,-79.9294952,Chislett Street,15206,1000, , , 
40.4758451,-79.9294789,Chislett Street,15206,1002, , , 
40.4699893,-79.9299336,Chislett Street,15206,600, , , 
40.4700011,-79.9299325,Chislett Street,15206,612, , , 
40.4703692,-79.9304787,Chislett Street,15206,623, , , 
40.4713045,-79.9303443,Chislett Street,15206,700, , , 
