lat,lon,street,postcode,housenumber,city,state,country
40.4701171,-79.894533,Churchland Street,15206,7171, , , 
40.4710863,-79.8962213,Churchland Street,15206,7115, , , 
40.4710221,-79.8961293,Churchland Street,15206,7119, , , 
40.4709507,-79.8960429,Churchland Street,15206,7121, , , 
40.470782,-79.8957496,Churchland Street,15206,7133, , , 
40.4704041,-79.8962297,Churchland Street,15206,7134, , , 
40.4704482,-79.8960575,Churchland Street,15206,7136, , , 
40.4705512,-79.895437,Churchland Street,15206,7141, , , 
40.4704939,-79.8953571,Churchland Street,15206,7143, , , 
40.4703825,-79.8951753,Churchland Street,15206,7151, , , 
40.4709875,-79.8967786,Churchland Street,15206,7104, , , 
40.4712086,-79.8970302,Churchland Street,15206,7022, , , 
40.4711404,-79.8969913,Churchland Street,15206,7026, , , 
40.4709991,-79.8967488,Churchland Street,15206,7100, , , 
40.4712763,-79.8964905,Churchland Street,15206,7101, , , 
40.4712157,-79.8964123,Churchland Street,15206,7105, , , 
40.471148,-79.8963138,Churchland Street,15206,7109, , , 
40.4705444,-79.8964384,Churchland Street,15206,7124, , , 
40.4704904,-79.8963594,Churchland Street,15206,7128, , , 
40.4715959,-79.8968731,Churchland Street,15206,7017, , , 
40.4716954,-79.8969259,Churchland Street,15206,7015, , , 
40.4723522,-79.8979762,Churchland Street,15206,6928, , , 
40.4724653,-79.8980665,Churchland Street,15206,6924, , , 
40.472516,-79.8976294,Churchland Street,15206,6935, , , 
40.4725299,-79.8981196,Churchland Street,15206,6922, , , 
40.4726337,-79.8977234,Churchland Street,15206,6929, , , 
40.4726511,-79.8982029,Churchland Street,15206,6918, , , 
40.4727029,-79.8982696,Churchland Street,15206,6916, , , 
40.4728197,-79.8978771,Churchland Street,15206,6923, , , 
40.4728354,-79.8983468,Churchland Street,15206,6912, , , 
40.47289,-79.8983942,Churchland Street,15206,6910, , , 
40.472938,-79.8979722,Churchland Street,15206,6917, , , 
40.4730451,-79.8980418,Churchland Street,15206,6913, , , 
40.4730822,-79.8978172,Churchland Street,15206,6915, , , 
40.4731166,-79.8981088,Churchland Street,15206,6909, , , 
40.4732864,-79.8982246,Churchland Street,15206,6903, , , 
40.4727744,-79.8982902,Churchland Street,15206,6914, , , 
40.4727557,-79.8978208,Churchland Street,15206,6925, , , 
40.4726967,-79.897774,Churchland Street,15206,6927, , , 
40.4724021,-79.8975384,Churchland Street,15206,6939, , , 
40.4721125,-79.8977841,Churchland Street,15206,6942, , , 
40.4720619,-79.8977426,Churchland Street,15206,6944, , , 
40.4722828,-79.897443,Churchland Street,15206,6945, , , 
40.4719898,-79.897681,Churchland Street,15206,6946, , , 
40.4722127,-79.8973875,Churchland Street,15206,6949, , , 
40.4721185,-79.8970332,Churchland Street,15206,7001, , , 
40.4719378,-79.8971673,Churchland Street,15206,7003, , , 
40.471615,-79.8973667,Churchland Street,15206,7006, , , 
40.4715545,-79.8973162,Churchland Street,15206,7010, , , 
40.4714605,-79.897351,Churchland Street,15206,7012, , , 
40.4714836,-79.8967711,Churchland Street,15206,7023, , , 
40.4714061,-79.8967571,Churchland Street,15206,7027, , , 
