lat,lon,street,postcode,housenumber,city,state,country
40.4675565,-79.9185771,Collins Avenue,15206,645, , , 
40.4641449,-79.9207549,Collins Avenue,15206,345, , , 
40.4642544,-79.9206848,Collins Avenue,15206,347, , , 
40.4655055,-79.9199013,Collins Avenue,15206,511, , , 
40.4655694,-79.9198595,Collins Avenue,15206,515, , , 
40.4657132,-79.9197508,Collins Avenue,15206,523, , , 
40.4658534,-79.9196839,Collins Avenue,15206,525, , , 
40.4629249,-79.92093,Collins Avenue,15206,300, , , 
40.4630067,-79.9208699,Collins Avenue,15206,310, , , 
40.4632139,-79.9206922,Collins Avenue,15206,322, , , 
40.4644133,-79.9200118,Collins Avenue,15206,424, , , 
40.4657717,-79.9197168,Collins Avenue,15206,521, , , 
