lat,lon,street,postcode,housenumber,city,state,country
40.4672949,-79.9027628,Dean Street,15206,5, , , 
40.467513,-79.9030865,Dean Street,15206,6518, , , 
40.4676402,-79.902684,Dean Street,15206,6523, , , 
40.4676676,-79.9027312,Dean Street,15206,6521, , , 
40.4681238,-79.904136,Dean Street,15206,6450, , , 
40.4681454,-79.9042173,Dean Street,15206,6452, , , 
40.4682241,-79.9043693,Dean Street,15206,6442, , , 
40.4683102,-79.9045368,Dean Street,15206,6438, , , 
40.4683984,-79.9046816,Dean Street,15206,6434, , , 
40.4684035,-79.9039494,Dean Street,15206,6455, , , 
40.468417,-79.9047749,Dean Street,15206,6432, , , 
40.4674299,-79.9033614,Dean Street,15206,6516, , , 
40.4672952,-79.9027614,Dean Street,15206,6528, , , 
40.4685337,-79.9048898,Dean Street,15206,6428, , , 
40.4685629,-79.9042382,Dean Street,15206,6439, , , 
40.4686003,-79.9043224,Dean Street,15206,6437, , , 
40.4686465,-79.9051166,Dean Street,15206,6422, , , 
40.4686768,-79.9044776,Dean Street,15206,6433, , , 
40.4687223,-79.90526,Dean Street,15206,6418, , , 
40.4687743,-79.9046102,Dean Street,15206,6429, , , 
40.4688112,-79.9046782,Dean Street,15206,6427, , , 
40.4688523,-79.9047417,Dean Street,15206,6425, , , 
40.468891,-79.9055494,Dean Street,15206,6408, , , 
40.4688925,-79.9048246,Dean Street,15206,6423, , , 
40.4689268,-79.9056192,Dean Street,15206,6406, , , 
40.4689475,-79.9048904,Dean Street,15206,6421, , , 
40.4689815,-79.9056745,Dean Street,15206,6404, , , 
40.4690268,-79.9050292,Dean Street,15206,6417, , , 
40.4690713,-79.9050975,Dean Street,15206,6415, , , 
40.4692413,-79.9053805,Dean Street,15206,6405, , , 
40.4692769,-79.9054553,Dean Street,15206,6403, , , 
40.4693853,-79.9064881,Dean Street,15206,6348, , , 
40.4694379,-79.9057459,Dean Street,15206,6361, , , 
40.4694562,-79.9058418,Dean Street,15206,6359, , , 
40.4694981,-79.9065967,Dean Street,15206,6344, , , 
40.4695819,-79.9067403,Dean Street,15206,6340, , , 
40.4695822,-79.9060605,Dean Street,15206,6353, , , 
40.4696134,-79.9059202,Dean Street,15206,6355, , , 
40.4697581,-79.906335,Dean Street,15206,6327, , , 
40.4697649,-79.907041,Dean Street,15206,6332, , , 
40.4697651,-79.9072211,Dean Street,15206,6332, , , 
40.4698711,-79.9064569,Dean Street,15206,6341, , , 
40.4698811,-79.9065669,Dean Street,15206,6319, , , 
40.469939,-79.9066144,Dean Street,15206,6317, , , 
40.4700365,-79.9068473,Dean Street,15206,6311, , , 
40.4700757,-79.906928,Dean Street,15206,6309, , , 
40.4701185,-79.9069872,Dean Street,15206,6307, , , 
40.4701625,-79.9070735,Dean Street,15206,6303, , , 
40.4701949,-79.907131,Dean Street,15206,6301, , , 
