lat,lon,street,postcode,housenumber,city,state,country
40.4643229,-79.9014068,Deary Street,15206,6744, , , 
40.4643823,-79.9015054,Deary Street,15206,6738, , , 
40.4646407,-79.9020903,Deary Street,15206,6714, , , 
40.4647299,-79.9021679,Deary Street,15206,6712, , , 
40.4648975,-79.902444,Deary Street,15206,6702, , , 
40.4646401,-79.9012526,Deary Street,15206,6737, , , 
40.4645687,-79.9011511,Deary Street,15206,6741, , , 
40.4648201,-79.9023085,Deary Street,15206,6706, , , 
40.4646366,-79.9019269,Deary Street,15206,6720, , , 
40.4650822,-79.9020339,Deary Street,15206,6709, , , 
40.4651542,-79.9028426,Deary Street,15206,6638, , , 
40.4651903,-79.9029106,Deary Street,15206,6634, , , 
40.4653162,-79.9032418,Deary Street,15206,6626, , , 
40.4657379,-79.9038344,Deary Street,15206,6602, , , 
40.4657494,-79.9031704,Deary Street,15206,6621, , , 
40.4657734,-79.9032104,Deary Street,15206,6619, , , 
40.4657939,-79.9032462,Deary Street,15206,6617, , , 
40.4658792,-79.9032612,Deary Street,15206,6611, , , 
40.4659219,-79.9033287,Deary Street,15206,6609, , , 
40.4660013,-79.9036088,Deary Street,15206,6601, , , 
40.4668376,-79.9057304,Deary Street,15206,6504, , , 
40.4668124,-79.9056394,Deary Street,15206,6506, , , 
40.466764,-79.9055699,Deary Street,15206,6508, , , 
40.4671013,-79.90549,Deary Street,15206,6501, , , 
40.4670141,-79.9053366,Deary Street,15206,6507, , , 
40.4666086,-79.9053193,Deary Street,15206,6520, , , 
40.4665595,-79.9052451,Deary Street,15206,6522, , , 
40.4669304,-79.9051891,Deary Street,15206,6515, , , 
40.4665226,-79.9051742,Deary Street,15206,6524, , , 
40.4664446,-79.9050304,Deary Street,15206,6530, , , 
40.4663884,-79.9049675,Deary Street,15206,6532, , , 
40.4663694,-79.9048814,Deary Street,15206,6534, , , 
40.4667221,-79.9048168,Deary Street,15206,6525, , , 
40.4666845,-79.9047426,Deary Street,15206,6527, , , 
40.466642,-79.9046769,Deary Street,15206,6529, , , 
40.466218,-79.904608,Deary Street,15206,6544, , , 
40.4659903,-79.9043289,Deary Street,15206,6556, , , 
40.4663307,-79.9041007,Deary Street,15206,6551, , , 
40.4671044,-79.9062088,Deary Street,15206,6428, , , 
40.4671338,-79.906328,Deary Street,15206,6426, , , 
40.4672005,-79.9064143,Deary Street,15206,6424, , , 
40.4673632,-79.9067172,Deary Street,15206,6416, , , 
40.4674026,-79.9067806,Deary Street,15206,6414, , , 
40.4675068,-79.9061286,Deary Street,15206,6425, , , 
40.467528,-79.9069953,Deary Street,15206,6408, , , 
40.4675619,-79.9062234,Deary Street,15206,6421, , , 
40.4675698,-79.9070657,Deary Street,15206,6406, , , 
40.4675952,-79.9063219,Deary Street,15206,6419, , , 
40.4676363,-79.9063829,Deary Street,15206,6417, , , 
40.4676414,-79.9071251,Deary Street,15206,6404, , , 
40.4677329,-79.9065029,Deary Street,15206,6413, , , 
40.4677683,-79.9065928,Deary Street,15206,6411, , , 
40.4669035,-79.9059834,Deary Street,15206,6500, , , 
