lat,lon,street,postcode,housenumber,city,state,country
40.4536581,-79.9201227,Denniston Avenue,15206,428, , , 
40.4535659,-79.9201028,Denniston Avenue,15206,432, , , 
40.454947,-79.9200782,Denniston Avenue,15206,344, , , 
40.4560186,-79.9198765,Denniston Avenue,15206,310, , , 
40.4559494,-79.9198653,Denniston Avenue,15206,312, , , 
40.4549247,-79.9197288,Denniston Avenue,15206,345, , , 
40.4542156,-79.919724,Denniston Avenue,15206,419, , , 
40.4542074,-79.9197201,Denniston Avenue,15206,417, , , 
40.4549622,-79.9196919,Denniston Avenue,15206,343, , , 
40.4557079,-79.9195035,Denniston Avenue,15206,315, , , 
40.4556879,-79.919445,Denniston Avenue,15206,317, , , 
40.4561484,-79.919252,Denniston Avenue,15206,301, , , 
40.4578894,-79.920898,Denniston Avenue,15206,100, , , 
40.4571704,-79.9198503,Denniston Avenue,15206,233, , , 
40.4570987,-79.9198254,Denniston Avenue,15206,210, , , 
40.4581301,-79.9194521,Denniston Avenue,15206,100, , , 
40.4570867,-79.9193257,Denniston Avenue,15206,100, , , 
40.447362,-79.9205732,Denniston Avenue,15206,1218, , , 
40.4477379,-79.9205407,Denniston Avenue,15206,1204, , , 
40.4472011,-79.9205259,Denniston Avenue,15206,1224, , , 
40.4476401,-79.9205009,Denniston Avenue,15206,1208, , , 
40.4475384,-79.9204796,Denniston Avenue,15206,1212, , , 
40.4472689,-79.9204573,Denniston Avenue,15206,1222, , , 
40.4467652,-79.9203142,Denniston Avenue,15206,1238, , , 
40.4470147,-79.9203082,Denniston Avenue,15206,1234, , , 
40.4478307,-79.9200189,Denniston Avenue,15206,1209, , , 
40.4477219,-79.9199781,Denniston Avenue,15206,1213, , , 
40.4476246,-79.9199656,Denniston Avenue,15206,1217, , , 
40.4475174,-79.9199165,Denniston Avenue,15206,1221, , , 
40.4474113,-79.9199044,Denniston Avenue,15206,1225, , , 
40.4473024,-79.9198539,Denniston Avenue,15206,1229, , , 
40.4472103,-79.9198315,Denniston Avenue,15206,1231, , , 
40.4470988,-79.919788,Denniston Avenue,15206,1235, , , 
40.4469782,-79.9197352,Denniston Avenue,15206,1239, , , 
40.4469307,-79.9197211,Denniston Avenue,15206,1241, , , 
40.4468487,-79.9197023,Denniston Avenue,15206,1243, , , 
40.4467908,-79.9196843,Denniston Avenue,15206,1245, , , 
40.4467304,-79.9196705,Denniston Avenue,15206,1247, , , 
40.4466739,-79.9196489,Denniston Avenue,15206,1249, , , 
40.4466079,-79.9196267,Denniston Avenue,15206,1251, , , 
40.4465375,-79.9196053,Denniston Avenue,15206,1255, , , 
40.4464749,-79.9195879,Denniston Avenue,15206,1257, , , 
40.4466063,-79.9193308,Denniston Avenue,15206,1257, , , 
40.4464118,-79.9195722,Denniston Avenue,15206,1259, , , 
40.4463512,-79.9195498,Denniston Avenue,15206,1261, , , 
40.4464529,-79.9192831,Denniston Avenue,15206,1263, , , 
40.4466487,-79.9202616,Denniston Avenue,15206,1288, , , 
40.4465257,-79.9202303,Denniston Avenue,15206,1290, , , 
40.4464088,-79.9201838,Denniston Avenue,15206,1292, , , 
40.4461669,-79.9201261,Denniston Avenue,15206,1296, , , 
40.4460413,-79.9201033,Denniston Avenue,15206,1298, , , 
