lat,lon,street,postcode,housenumber,city,state,country
40.4665725,-79.9242589,East Liberty Boulevard,15206,5825, , , 
40.4666944,-79.9245954,East Liberty Boulevard,15206,5815, , , 
40.4667124,-79.9262213,East Liberty Boulevard,15206,5702, , , 
40.4668392,-79.9249811,East Liberty Boulevard,15206,5801, , , 
40.4670546,-79.9256208,East Liberty Boulevard,15206,5713, , , 
40.4670773,-79.9256859,East Liberty Boulevard,15206,5711, , , 
40.4661102,-79.9239291,East Liberty Boulevard,15206,5910, , , 
40.4618199,-79.9155166,East Liberty Boulevard,15206,6367, , , 
40.4651385,-79.9208768,East Liberty Boulevard,15206,6106, , , 
40.4621441,-79.9166948,East Liberty Boulevard,15206,466, , , 
40.4653994,-79.9200933,East Liberty Boulevard,15206,6135, , , 
40.4653639,-79.9199977,East Liberty Boulevard,15206,6143, , , 
