lat,lon,street,postcode,housenumber,city
25.7884475,-80.1622603,East San Marino Drive,33139,21,Miami Beach
25.7932724,-80.1629459,East San Marino Drive,33139,431,Miami Beach
25.7927218,-80.1622952,East San Marino Drive,33139,409,Miami Beach
25.7919034,-80.1622267,East San Marino Drive,33139,309,Miami Beach
25.7916573,-80.1622111,East San Marino Drive,33139,303,Miami Beach
25.7911538,-80.1621795,East San Marino Drive,33139,241,Miami Beach
25.7897311,-80.1620974,East San Marino Drive,33139,125,Miami Beach
25.7887842,-80.1620758,East San Marino Drive,33139,35,Miami Beach
25.7893067,-80.1620728,East San Marino Drive,33139,111,Miami Beach
25.7891414,-80.1620634,East San Marino Drive,33139,105,Miami Beach
