lat,lon,street,postcode,housenumber,city,state,country
40.4780625,-79.9241911,Elgin Street,15206,5552, , , 
40.4781335,-79.924416,Elgin Street,15206,5546, , , 
40.4782741,-79.9247517,Elgin Street,15206,5540, , , 
40.4783436,-79.9250157,Elgin Street,15206,5526, , , 
40.4785119,-79.9253962,Elgin Street,15206,5516, , , 
40.4764979,-79.9199405,Elgin Street,15206,5810, , , 
40.4767368,-79.9196052,Elgin Street,15206,5817, , , 
40.4767929,-79.919584,Elgin Street,15206,5815, , , 
40.4767516,-79.9194737,Elgin Street,15206,5819, , , 
40.4766511,-79.9193986,Elgin Street,15206,5825, , , 
40.4767182,-79.9193669,Elgin Street,15206,5823, , , 
40.4760644,-79.9188098,Elgin Street,15206,5914, , , 
40.475975,-79.9185861,Elgin Street,15206,5924, , , 
40.4759486,-79.9185159,Elgin Street,15206,5926, , , 
