lat,lon,street,postcode,housenumber,city,state,country
40.4730916,-80.0115582,Ellis Street,15214,2717, , , 
40.4723547,-80.0114821,Ellis Street,15214,2659, , , 
40.4724425,-80.011403,Ellis Street,15214,2661, , , 
40.4719022,-80.0113407,Ellis Street,15214,2645, , , 
40.4731288,-80.0109899,Ellis Street,15214,2724, , , 
40.472473,-80.0109665,Ellis Street,15214,2656, , , 
40.4723534,-80.0109463,Ellis Street,15214,2650, , , 
40.4724342,-80.0109422,Ellis Street,15214,2654, , , 
40.4723783,-80.0109338,Ellis Street,15214,2652, , , 
40.4710396,-80.0110399,Ellis Street,15214,2619, , , 
40.4711355,-80.0108814,Ellis Street,15214,2621, , , 
40.4714966,-80.0112012,Ellis Street,15214,2633, , , 
