lat,lon,street,postcode,housenumber,city,state,country
40.4618767,-79.9087396,Elmer L Williams Sq,15206,538, , , 
40.4618995,-79.9088705,Elmer L Williams Sq,15206,530, , , 
40.4619132,-79.9088116,Elmer L Williams Sq,15206,536, , , 
40.461933,-79.9085926,Elmer L Williams Sq,15206,534, , , 
40.4621606,-79.9091204,Elmer L Williams Sq,15206,531, , , 
40.4621212,-79.9090699,Elmer L Williams Sq,15206,533, , , 
40.4621308,-79.9090684,Elmer L Williams Sq,15206,553, , , 
40.4621792,-79.9090082,Elmer L Williams Sq,15206,535, , , 
40.4622263,-79.9088504,Elmer L Williams Sq,15206,541, , , 
40.4622565,-79.9087475,Elmer L Williams Sq,15206,545, , , 
40.4619825,-79.9085719,Elmer L Williams Sq,15206,546, , , 
40.4619671,-79.9084841,Elmer L Williams Sq,15206,548, , , 
40.4623146,-79.9084183,Elmer L Williams Sq,15206,557, , , 
40.4620109,-79.9083291,Elmer L Williams Sq,15206,550, , , 
40.4620318,-79.9082535,Elmer L Williams Sq,15206,558, , , 
