lat,lon,street,postcode,housenumber,city,state,country
40.4617692,-79.9166173,Enright Court,15206,450, , , 
40.4614801,-79.916584,Enright Court,15206,430, , , 
40.4617726,-79.916561,Enright Court,15206,448, , , 
40.4614866,-79.9165209,Enright Court,15206,432, , , 
40.4617759,-79.9165045,Enright Court,15206,446, , , 
40.4614938,-79.9164554,Enright Court,15206,434, , , 
40.4614968,-79.9163926,Enright Court,15206,436, , , 
40.4617835,-79.9163843,Enright Court,15206,442, , , 
40.461498,-79.9163284,Enright Court,15206,438, , , 
40.4615013,-79.9162682,Enright Court,15206,440, , , 
40.461599,-79.9181749,Enright Court,15206,366, , , 
40.4616178,-79.9180379,Enright Court,15206,370, , , 
40.461629,-79.9178401,Enright Court,15206,376, , , 
40.4616376,-79.9177124,Enright Court,15206,380, , , 
40.4616215,-79.9173139,Enright Court,15206,339, , , 
40.4615243,-79.9173,Enright Court,15206,335, , , 
40.4614739,-79.9172912,Enright Court,15206,333, , , 
40.4620559,-79.917057,Enright Court,15206,470, , , 
40.4616458,-79.9170426,Enright Court,15206,441, , , 
40.4620062,-79.9170404,Enright Court,15206,472, , , 
40.4619561,-79.9170369,Enright Court,15206,474, , , 
40.4616001,-79.9170357,Enright Court,15206,439, , , 
40.4618773,-79.9170339,Enright Court,15206,476, , , 
40.4615005,-79.9170103,Enright Court,15206,435, , , 
40.4620909,-79.9166742,Enright Court,15206,464, , , 
40.4620447,-79.9166658,Enright Court,15206,462, , , 
40.4619978,-79.9166557,Enright Court,15206,460, , , 
40.4619474,-79.9166423,Enright Court,15206,466, , , 
40.4613085,-79.9181314,Enright Court,15206,364, , , 
40.4610796,-79.9180949,Enright Court,15206,334, , , 
40.4607913,-79.9180522,Enright Court,15206,332, , , 
40.4613291,-79.9179932,Enright Court,15206,360, , , 
40.4607972,-79.9179848,Enright Court,15206,330, , , 
40.4610938,-79.9179706,Enright Court,15206,338, , , 
40.4613419,-79.9179304,Enright Court,15206,358, , , 
40.4607946,-79.9179079,Enright Court,15206,328, , , 
40.46109,-79.9179069,Enright Court,15206,340, , , 
40.4607974,-79.9178594,Enright Court,15206,326, , , 
40.461349,-79.9177976,Enright Court,15206,354, , , 
40.4607942,-79.9177856,Enright Court,15206,324, , , 
40.4611104,-79.917772,Enright Court,15206,344, , , 
40.4607963,-79.9177292,Enright Court,15206,322, , , 
40.4611162,-79.9177104,Enright Court,15206,346, , , 
40.4608161,-79.9176263,Enright Court,15206,320, , , 
40.4608193,-79.9175638,Enright Court,15206,320, , , 
40.4608196,-79.9174967,Enright Court,15206,316, , , 
40.4608287,-79.9174288,Enright Court,15206,314, , , 
40.4608345,-79.9173763,Enright Court,15206,312, , , 
40.4608394,-79.9173017,Enright Court,15206,310, , , 
40.4613751,-79.9172744,Enright Court,15206,331, , , 
40.4612787,-79.9172465,Enright Court,15206,327, , , 
40.4611833,-79.9172444,Enright Court,15206,321, , , 
40.461128,-79.9172438,Enright Court,15206,321, , , 
40.4612283,-79.9172402,Enright Court,15206,325, , , 
40.4608606,-79.9170983,Enright Court,15206,300, , , 
40.4608636,-79.9170221,Enright Court,15206,306, , , 
40.4612979,-79.9169976,Enright Court,15206,429, , , 
40.4612571,-79.9169765,Enright Court,15206,427, , , 
40.4612065,-79.9169655,Enright Court,15206,425, , , 
40.4608689,-79.9169579,Enright Court,15206,304, , , 
40.4611537,-79.9169574,Enright Court,15206,423, , , 
40.4608746,-79.9168927,Enright Court,15206,302, , , 
40.4608792,-79.9168371,Enright Court,15206,300, , , 
40.4609413,-79.9164838,Enright Court,15206,402, , , 
40.4611934,-79.9164807,Enright Court,15206,422, , , 
40.461198,-79.9164179,Enright Court,15206,420, , , 
40.4609459,-79.9164085,Enright Court,15206,404, , , 
40.4612054,-79.9163516,Enright Court,15206,418, , , 
40.4609532,-79.9163461,Enright Court,15206,408, , , 
40.4612121,-79.9162902,Enright Court,15206,416, , , 
40.4612166,-79.9162404,Enright Court,15206,414, , , 
