lat,lon,street,postcode,housenumber,city,state,country
40.4730487,-79.9183448,Farragut Street,15206,1025, , , 
40.4732211,-79.9182697,Farragut Street,15206,1033, , , 
40.4726722,-79.9184436,Farragut Street,15206,1007, , , 
40.4728908,-79.9184423,Farragut Street,15206,1015, , , 
40.4728468,-79.9184032,Farragut Street,15206,1017, , , 
40.4730884,-79.9183343,Farragut Street,15206,1027, , , 
40.4731407,-79.9183069,Farragut Street,15206,1029, , , 
40.4731753,-79.9182938,Farragut Street,15206,1031, , , 
40.4732648,-79.918253,Farragut Street,15206,1035, , , 
40.4736345,-79.9180848,Farragut Street,15206,1109, , , 
40.473446,-79.9175189,Farragut Street,15206,1100, , , 
40.4698775,-79.9197652,Farragut Street,15206,813, , , 
40.4699078,-79.9197464,Farragut Street,15206,815, , , 
40.4714256,-79.9185487,Farragut Street,15206,914, , , 
40.4714757,-79.9185255,Farragut Street,15206,916, , , 
40.4715433,-79.918495,Farragut Street,15206,918, , , 
