lat,lon,street,postcode,housenumber,city,state,country
40.4596487,-79.9097669,Finley Street,15206,117, , , 
40.459766,-79.9096793,Finley Street,15206,121, , , 
40.4601642,-79.9094401,Finley Street,15206,135, , , 
40.4604285,-79.9080189,Finley Street,15206,500, , , 
40.4605993,-79.9086103,Finley Street,15206,513, , , 
40.4606305,-79.9085391,Finley Street,15206,515, , , 
40.4606634,-79.9084409,Finley Street,15206,517, , , 
40.4606714,-79.9083639,Finley Street,15206,519, , , 
40.460775,-79.9081554,Finley Street,15206,525, , , 
40.4608404,-79.9080485,Finley Street,15206,529, , , 
40.4609083,-79.9078682,Finley Street,15206,537, , , 
