lat,lon,street,postcode,housenumber,city,state,country
40.4585783,-79.9090532,Frankstown Avenue,15206,6664, , , 
40.4585933,-79.9091193,Frankstown Avenue,15206,6662, , , 
40.4586087,-79.9091908,Frankstown Avenue,15206,6658, , , 
40.4586741,-79.9070835,Frankstown Avenue,15206,6729, , , 
40.4588305,-79.907563,Frankstown Avenue,15206,6701, , , 
40.4588552,-79.9072359,Frankstown Avenue,15206,6725, , , 
40.4593357,-79.9100333,Frankstown Avenue,15206,6621, , , 
40.4594605,-79.9101883,Frankstown Avenue,15206,6611, , , 
40.4595249,-79.9098476,Frankstown Avenue,15206,6606, , , 
40.4602914,-79.914002,Frankstown Avenue,15206,6494, , , 
40.4601244,-79.9134653,Frankstown Avenue,15206,6510, , , 
40.4600013,-79.9131609,Frankstown Avenue,15206,6516, , , 
40.4598552,-79.9127486,Frankstown Avenue,15206,6542, , , 
40.4597219,-79.9124028,Frankstown Avenue,15206,6552, , , 
40.459616,-79.9120027,Frankstown Avenue,15206,6556, , , 
40.4598537,-79.9113005,Frankstown Avenue,15206,6585, , , 
40.4598452,-79.9112413,Frankstown Avenue,15206,6587, , , 
40.4594079,-79.9116442,Frankstown Avenue,15206,6590, , , 
40.4596943,-79.9110445,Frankstown Avenue,15206,6593, , , 
40.4596739,-79.9110047,Frankstown Avenue,15206,6595, , , 
40.4596294,-79.9108443,Frankstown Avenue,15206,6599, , , 
40.4595478,-79.9106602,Frankstown Avenue,15206,6601, , , 
