lat,lon,street,postcode,housenumber,city,state,country
40.4611163,-80.0147681,Geranium Street,15214,525,Pittsburgh,PA,US
40.4613244,-80.0146863,Geranium Street,15214,18,Pittsburgh,PA,US
40.4613726,-80.0146347,Geranium Street,15214,16,Pittsburgh,PA,US
40.4613914,-80.0153162,Geranium Street,15214,29,Pittsburgh,PA,US
40.4614127,-80.0152648,Geranium Street,15214,27,Pittsburgh,PA,US
40.4614316,-80.0152399,Geranium Street,15214,614,Pittsburgh,PA,US
40.4614795,-80.015161,Geranium Street,15214,23,Pittsburgh,PA,US
40.4615801,-80.0151572,Geranium Street,15214,21,Pittsburgh,PA,US
40.4615885,-80.014391,Geranium Street,15214,42,Pittsburgh,PA,US
40.4616269,-80.0150657,Geranium Street,15214,522,Pittsburgh,PA,US
40.4616779,-80.0147223,Geranium Street,15214,510,Pittsburgh,PA,US
40.4617984,-80.0144585,Geranium Street,15214,7,Pittsburgh,PA,US
40.4618416,-80.0143981,Geranium Street,15214,504,Pittsburgh,PA,US
40.4619242,-80.0142747,Geranium Street,15214,1,Pittsburgh,PA,US
