lat,lon,street,postcode,housenumber,city,state,country
40.4476591,-79.9177189,Gettysburg Street,15206,700, , , 
40.4477847,-79.9175364,Gettysburg Street,15206,642, , , 
40.4474549,-79.9172322,Gettysburg Street,15206,647, , , 
40.4474361,-79.9172082,Gettysburg Street,15206,649, , , 
40.4482083,-79.9171457,Gettysburg Street,15206,622, , , 
40.4481682,-79.9171314,Gettysburg Street,15206,624, , , 
40.4482589,-79.9170973,Gettysburg Street,15206,620, , , 
40.4476452,-79.9170083,Gettysburg Street,15206,639, , , 
40.4476866,-79.9169715,Gettysburg Street,15206,637, , , 
40.4484626,-79.9169389,Gettysburg Street,15206,610, , , 
40.4477288,-79.9169333,Gettysburg Street,15206,635, , , 
40.4477826,-79.9168747,Gettysburg Street,15206,633, , , 
40.4485665,-79.9168147,Gettysburg Street,15206,606, , , 
40.4488629,-79.9168112,Gettysburg Street,15206,600, , , 
40.4478653,-79.9167986,Gettysburg Street,15206,629, , , 
40.4479212,-79.916776,Gettysburg Street,15206,627, , , 
40.44804,-79.9166773,Gettysburg Street,15206,621, , , 
40.4482132,-79.9165201,Gettysburg Street,15206,611, , , 
40.4483887,-79.9163701,Gettysburg Street,15206,603, , , 
40.4490472,-79.9163693,Gettysburg Street,15206,538, , , 
40.4484523,-79.9163049,Gettysburg Street,15206,541, , , 
40.4485062,-79.9162556,Gettysburg Street,15206,539, , , 
40.4492294,-79.9162425,Gettysburg Street,15206,522, , , 
40.4488651,-79.9159311,Gettysburg Street,15206,5, , , 
40.4501201,-79.9153194,Gettysburg Street,15206,494, , , 
40.4500382,-79.9149731,Gettysburg Street,15206,417, , , 
40.4471197,-79.9178446,Gettysburg Street,15206,701, , , 
