lat,lon,street,postcode,housenumber,city,state,country
40.4695234,-79.8889295,Gopher Street,15206,1672, , , 
40.4697575,-79.8888172,Gopher Street,15206,1682, , , 
40.4694705,-79.889667,Gopher Street,15206,1655, , , 
40.4697878,-79.8895264,Gopher Street,15206,1673, , , 
40.4698507,-79.8894659,Gopher Street,15206,1675, , , 
40.4698974,-79.8892872,Gopher Street,15206,1677, , , 
40.4699848,-79.8892109,Gopher Street,15206,1681, , , 
40.4694263,-79.8891637,Gopher Street,15206,1668, , , 
40.4694535,-79.8889999,Gopher Street,15206,1670, , , 
40.4700246,-79.8889839,Gopher Street,15206,1685, , , 
