lat,lon,street,postcode,housenumber,city,state,country
40.4649985,-79.8971754,Grotto Street,15206,1223, , , 
40.4650752,-79.8969931,Grotto Street,15206,1229, , , 
40.4651873,-79.8965117,Grotto Street,15206,1236, , , 
40.4652838,-79.8964648,Grotto Street,15206,1240, , , 
40.4653752,-79.8968631,Grotto Street,15206,1241, , , 
40.4654421,-79.8963246,Grotto Street,15206,1246, , , 
40.4656456,-79.8967204,Grotto Street,15206,1253, , , 
40.4657815,-79.8966898,Grotto Street,15206,1245, , , 
40.4659559,-79.8966724,Grotto Street,15206,1263, , , 
40.4661753,-79.8962469,Grotto Street,15206,1304, , , 
40.4664085,-79.8961195,Grotto Street,15206,1312, , , 
40.4668247,-79.8960382,Grotto Street,15206,1322, , , 
40.4669466,-79.8960086,Grotto Street,15206,1326, , , 
40.4670823,-79.8960072,Grotto Street,15206,1330, , , 
40.4671295,-79.8960065,Grotto Street,15206,1332, , , 
40.4675305,-79.8958643,Grotto Street,15206,1410, , , 
40.4677322,-79.8962432,Grotto Street,15206,1355, , , 
40.4680428,-79.8960489,Grotto Street,15206,1369, , , 
40.4662903,-79.8966036,Grotto Street,15206,1307, , , 
40.4664782,-79.8965542,Grotto Street,15206,1313, , , 
40.4667305,-79.8964946,Grotto Street,15206,1323, , , 
40.4669258,-79.8964473,Grotto Street,15206,1329, , , 
40.4670738,-79.8963729,Grotto Street,15206,1335, , , 
40.4670874,-79.8963949,Grotto Street,15206,1333, , , 
40.4671479,-79.8964184,Grotto Street,15206,1337, , , 
40.4671896,-79.8964244,Grotto Street,15206,1339, , , 
40.4672435,-79.8963416,Grotto Street,15206,1343, , , 
40.4672727,-79.8964252,Grotto Street,15206,1345, , , 
40.467353,-79.8963631,Grotto Street,15206,1347, , , 
40.4674621,-79.8963249,Grotto Street,15206,1351, , , 
