lat,lon,street,postcode,housenumber,city,state,country
40.4574044,-79.9100725,Hamilton Avenue,15206,6634, , , 
40.4577807,-79.909637,Hamilton Avenue,15206,6629, , , 
40.4580281,-79.9094472,Hamilton Avenue,15206,6331, , , 
40.4587211,-79.9135771,Hamilton Avenue,15206,6526, , , 
40.4589108,-79.9126395,Hamilton Avenue,15206,6545, , , 
40.458315,-79.9125899,Hamilton Avenue,15206,6550, , , 
40.4585324,-79.9118466,Hamilton Avenue,15206,6583, , , 
40.4578077,-79.9111897,Hamilton Avenue,15206,6592, , , 
40.4580217,-79.9106552,Hamilton Avenue,15206,6601, , , 
40.4576088,-79.9104316,Hamilton Avenue,15206,6604, , , 
