lat,lon,street,postcode,housenumber,city,state,country
40.4476335,-79.9165935,Hastings Street,15206,630, , , 
40.4476747,-79.9165509,Hastings Street,15206,628, , , 
40.4478356,-79.916361,Hastings Street,15206,618, , , 
40.4479096,-79.9162932,Hastings Street,15206,616, , , 
40.4479707,-79.9162269,Hastings Street,15206,614, , , 
40.4480295,-79.9161842,Hastings Street,15206,612, , , 
40.4474161,-79.9161527,Hastings Street,15206,627, , , 
40.448078,-79.9161286,Hastings Street,15206,610, , , 
40.4475509,-79.9160513,Hastings Street,15206,623, , , 
40.4476911,-79.9159261,Hastings Street,15206,619, , , 
40.4477554,-79.915848,Hastings Street,15206,615, , , 
40.4478342,-79.9157733,Hastings Street,15206,609, , , 
40.447978,-79.9156643,Hastings Street,15206,605, , , 
40.4481133,-79.9155173,Hastings Street,15206,543, , , 
40.4481914,-79.9154702,Hastings Street,15206,539, , , 
40.4482758,-79.9153899,Hastings Street,15206,537, , , 
40.448359,-79.9153045,Hastings Street,15206,533, , , 
40.4484187,-79.9152367,Hastings Street,15206,531, , , 
40.4484807,-79.9151819,Hastings Street,15206,527, , , 
40.4490878,-79.9151806,Hastings Street,15206,510, , , 
40.4485424,-79.9151271,Hastings Street,15206,525, , , 
40.4491973,-79.9150806,Hastings Street,15206,506, , , 
40.4485848,-79.9150465,Hastings Street,15206,523, , , 
40.4492565,-79.9150293,Hastings Street,15206,502, , , 
40.4486531,-79.9150239,Hastings Street,15206,521, , , 
40.4487897,-79.9149004,Hastings Street,15206,515, , , 
40.449529,-79.9148026,Hastings Street,15206,428, , , 
40.4495827,-79.9147533,Hastings Street,15206,426, , , 
40.4496439,-79.9146974,Hastings Street,15206,424, , , 
40.4497078,-79.9146689,Hastings Street,15206,422, , , 
40.4498126,-79.914573,Hastings Street,15206,418, , , 
40.4465118,-79.9175936,Hastings Street,15206,724, , , 
40.4465833,-79.9175258,Hastings Street,15206,722, , , 
40.4466645,-79.9174465,Hastings Street,15206,720, , , 
40.4467819,-79.9173345,Hastings Street,15206,716, , , 
40.4468546,-79.9172941,Hastings Street,15206,714, , , 
40.4469083,-79.9172243,Hastings Street,15206,708, , , 
40.4472821,-79.9169405,Hastings Street,15206,644, , , 
40.4470404,-79.9164925,Hastings Street,15206,641, , , 
40.4471134,-79.9164233,Hastings Street,15206,639, , , 
40.4472682,-79.9163345,Hastings Street,15206,633, , , 
40.447303,-79.9162242,Hastings Street,15206,631, , , 
40.4462327,-79.9192404,Hastings Street,15206,812, , , 
40.4461906,-79.9194763,Hastings Street,15206,818, , , 
40.4461768,-79.9195535,Hastings Street,15206,820, , , 
40.4460105,-79.9205279,Hastings Street,15206,918, , , 
40.4460048,-79.9201011,Hastings Street,15206,900, , , 
40.4498449,-79.9144907,Hastings Street,15206,416, , , 
40.4500309,-79.91435,Hastings Street,15206,410, , , 
40.4502136,-79.9136705,Hastings Street,15206,353, , , 
40.4502803,-79.9136302,Hastings Street,15206,351, , , 
40.4503211,-79.9135467,Hastings Street,15206,347, , , 
40.4517348,-79.9130104,Hastings Street,15206,234, , , 
