lat,lon,street,postcode,housenumber,city,state,country
40.4690427,-79.924505,Hays Street,15206,5703, , , 
40.4694838,-79.9257798,Hays Street,15206,5627, , , 
40.4695773,-79.9260521,Hays Street,15206,5623, , , 
40.4696146,-79.9261518,Hays Street,15206,5619, , , 
40.4683397,-79.9235702,Hays Street,15206,5812, , , 
40.4683663,-79.923661,Hays Street,15206,5810, , , 
40.4685187,-79.9230903,Hays Street,15206,5821, , , 
40.4687471,-79.9237394,Hays Street,15206,5805, , , 
40.4694188,-79.9256184,Hays Street,15206,5633, , , 
40.4693976,-79.9255756,Hays Street,15206,5635, , , 
40.4693732,-79.9254875,Hays Street,15206,5639, , , 
40.4695963,-79.926103,Hays Street,15206,5621, , , 
40.469666,-79.9262973,Hays Street,15206,5613, , , 
40.470602,-79.9300174,Hays Street,15206,5486, , , 
40.4706256,-79.9300904,Hays Street,15206,5484, , , 
