lat,lon,street,postcode,housenumber,city,state,country
40.4719836,-80.007188,Hazelton Street,15214,2612, , , 
40.4686902,-80.0066248,Hazelton Street,15214,2413,Pittsburgh,PA,US
40.470003,-80.0065993,Hazelton Street,15214,2502,Pittsburgh,PA,US
40.468489,-80.0065943,Hazelton Street,15214,2407,Pittsburgh,PA,US
40.4698684,-80.006547,Hazelton Street,15214,2450,Pittsburgh,PA,US
40.46969,-80.0064842,Hazelton Street,15214,2444,Pittsburgh,PA,US
40.4680606,-80.0064137,Hazelton Street,15214,2341,Pittsburgh,PA,US
40.4692174,-80.0062743,Hazelton Street,15214,2424,Pittsburgh,PA,US
40.4691456,-80.0062665,Hazelton Street,15214,2422,Pittsburgh,PA,US
40.4721784,-80.007255,Hazelton Street,15214,2616, , , 
40.4680697,-80.0063538,Hazelton Street,15214,2349,Pittsburgh,PA,US
40.4697472,-80.0065055,Hazelton Street,15214,2446,Pittsburgh,PA,US
40.4699406,-80.0065757,Hazelton Street,15214,2500,Pittsburgh,PA,US
