lat,lon,street,postcode,housenumber,city,state,country
40.4766776,-80.001068,Hazlett Street,15214,106, , , 
40.4767476,-80.0007435,Hazlett Street,15214,138, , , 
40.476786,-80.0007754,Hazlett Street,15214,136, , , 
40.4768202,-80.0012152,Hazlett Street,15214,112, , , 
40.4768298,-80.0008207,Hazlett Street,15214,134, , , 
40.4768665,-80.0012642,Hazlett Street,15214,114, , , 
40.4768757,-80.0008625,Hazlett Street,15214,132, , , 
40.476889,-80.0004908,Hazlett Street,15214,144, , , 
40.4769216,-80.0009047,Hazlett Street,15214,130, , , 
40.4769274,-80.0005327,Hazlett Street,15214,146, , , 
40.4769597,-80.0009484,Hazlett Street,15214,128, , , 
40.4769692,-80.0005729,Hazlett Street,15214,148, , , 
40.4769702,-80.0013683,Hazlett Street,15214,120, , , 
40.4770031,-80.0009775,Hazlett Street,15214,126, , , 
40.4770535,-80.0006574,Hazlett Street,15214,152, , , 
40.4770689,-80.0002886,Hazlett Street,15214,162, , , 
40.4770891,-80.0006891,Hazlett Street,15214,154, , , 
40.4771045,-80.0003236,Hazlett Street,15214,164, , , 
40.4771294,-80.000739,Hazlett Street,15214,156, , , 
40.4771422,-80.000359,Hazlett Street,15214,166, , , 
40.4771832,-80.000401,Hazlett Street,15214,168, , , 
40.4773003,-80.0005174,Hazlett Street,15214,174, , , 
40.4773734,-80.0016047,Hazlett Street,15214,117, , , 
40.4774214,-80.0016466,Hazlett Street,15214,115, , , 
40.477475,-80.0017016,Hazlett Street,15214,113, , , 
40.4774851,-80.0013233,Hazlett Street,15214,135, , , 
40.4775264,-80.0013599,Hazlett Street,15214,133, , , 
40.4754466,-80.0044508,Hazlett Street,15214,29, , , 
40.4776101,-80.0018273,Hazlett Street,15214,107, , , 
40.4776445,-80.0014689,Hazlett Street,15214,127, , , 
40.4776474,-80.0010698,Hazlett Street,15214,155, , , 
40.4776943,-80.0011282,Hazlett Street,15214,153, , , 
40.4777451,-80.0011723,Hazlett Street,15214,151, , , 
40.4777929,-80.0012124,Hazlett Street,15214,149, , , 
40.4778292,-80.0008548,Hazlett Street,15214,171, , , 
40.4778383,-80.0012499,Hazlett Street,15214,147, , , 
40.4778731,-80.0008994,Hazlett Street,15214,169, , , 
40.4779202,-80.0009477,Hazlett Street,15214,167, , , 
40.4779668,-80.0009928,Hazlett Street,15214,165, , , 
