lat,lon,street,postcode,housenumber,city,state,country
40.4687734,-79.9171425,Heberton Street,15206,801, , , 
40.4688168,-79.9171277,Heberton Street,15206,803, , , 
40.4690009,-79.917058,Heberton Street,15206,811, , , 
40.4690535,-79.9170305,Heberton Street,15206,813, , , 
40.4741506,-79.9148837,Heberton Street,15206,1137, , , 
40.4742026,-79.9148458,Heberton Street,15206,1139, , , 
40.4747232,-79.9148341,Heberton Street,15206,205, , , 
40.4687105,-79.9166322,Heberton Street,15206,802, , , 
40.4687381,-79.916523,Heberton Street,15206,5, , , 
40.4689275,-79.9164385,Heberton Street,15206,810, , , 
40.4709401,-79.9162486,Heberton Street,15206,915, , , 
40.4689538,-79.9164681,Heberton Street,15206,800, , , 
40.4688674,-79.9171057,Heberton Street,15206,805, , , 
40.4689084,-79.9170925,Heberton Street,15206,807, , , 
40.4689104,-79.9165415,Heberton Street,15206,808, , , 
40.4689574,-79.9170737,Heberton Street,15206,809, , , 
40.4691275,-79.9163586,Heberton Street,15206,818, , , 
40.4692061,-79.9163968,Heberton Street,15206,822, , , 
40.4692507,-79.9163781,Heberton Street,15206,824, , , 
40.4693337,-79.9163441,Heberton Street,15206,828, , , 
40.4694405,-79.9163148,Heberton Street,15206,830, , , 
40.4697265,-79.9161733,Heberton Street,15206,840, , , 
40.4699574,-79.9160758,Heberton Street,15206,850, , , 
40.4709589,-79.916246,Heberton Street,15206,917, , , 
