lat,lon,street,postcode,housenumber,city,state,country
40.4659919,-79.9007227,Hedge Street,15206,6664, , , 
40.466231,-79.900104,Hedge Street,15206,6673, , , 
40.466266,-79.901014,Hedge Street,15206,6652, , , 
40.4663568,-79.9013433,Hedge Street,15206,6638, , , 
40.4663745,-79.9012601,Hedge Street,15206,6646, , , 
40.4664811,-79.9007829,Hedge Street,15206,6653, , , 
40.4665239,-79.9016845,Hedge Street,15206,6637, , , 
40.4665245,-79.9014907,Hedge Street,15206,6636, , , 
40.4665483,-79.9009198,Hedge Street,15206,6649, , , 
40.4665805,-79.9009895,Hedge Street,15206,6647, , , 
40.4666247,-79.9018193,Hedge Street,15206,6633, , , 
40.4666698,-79.9010625,Hedge Street,15206,6647, , , 
40.4666784,-79.9010566,Hedge Street,15206,6645, , , 
40.4662718,-79.90033,Hedge Street,15206,6741, , , 
