lat,lon,street,postcode,housenumber,city,state,country
40.4533525,-79.9241228,Howe Street,15206,6014, , , 
40.4533978,-79.9240085,Howe Street,15206,6018, , , 
40.4534283,-79.9239351,Howe Street,15206,6020, , , 
40.4539534,-79.922593,Howe Street,15206,6210, , , 
40.4544951,-79.9209645,Howe Street,15206,6316, , , 
40.4544978,-79.9209114,Howe Street,15206,6318, , , 
40.4548961,-79.9202869,Howe Street,15206,6333, , , 
40.4549208,-79.9201435,Howe Street,15206,6335, , , 
40.4549109,-79.9194103,Howe Street,15206,6407, , , 
40.4549287,-79.9192847,Howe Street,15206,6411, , , 
40.4546605,-79.9192779,Howe Street,15206,6410, , , 
40.4549753,-79.9192445,Howe Street,15206,6413, , , 
40.4546655,-79.9192029,Howe Street,15206,6412, , , 
40.45494,-79.9191495,Howe Street,15206,6415, , , 
40.4546847,-79.9191169,Howe Street,15206,6414, , , 
40.4546023,-79.9189004,Howe Street,15206,6418, , , 
40.453928,-79.9226529,Howe Street,15206,6208, , , 
