lat,lon,street,postcode,housenumber,city,state,country
40.4703344,-79.9164779,Jackson Street,15206,6216, , , 
40.4724607,-79.9267067,Jackson Street,15206,5546, , , 
40.4703814,-79.916702,Jackson Street,15206,6208, , , 
40.4704083,-79.9168614,Jackson Street,15206,6200, , , 
40.4710553,-79.9212348,Jackson Street,15206,5900, , , 
40.4713285,-79.9215136,Jackson Street,15206,5822, , , 
40.4713516,-79.9215863,Jackson Street,15206,5820, , , 
40.4721369,-79.9239813,Jackson Street,15206,5700, , , 
40.4723457,-79.9236972,Jackson Street,15206,5705, , , 
40.4715808,-79.9219669,Jackson Street,15206,5802, , , 
40.4713674,-79.9216321,Jackson Street,15206,5818, , , 
40.4725127,-79.9268458,Jackson Street,15206,5542, , , 
40.4725656,-79.9269748,Jackson Street,15206,5538, , , 
40.472742,-79.9273688,Jackson Street,15206,5526, , , 
40.4735736,-79.9284807,Jackson Street,15206,5445, , , 
40.4728839,-79.9125685,Jackson Street,15206,6501, , , 
40.4729357,-79.9125447,Jackson Street,15206,6503, , , 
40.4733731,-79.9120165,Jackson Street,15206,6520, , , 
40.473467,-79.9119857,Jackson Street,15206,6524, , , 
40.4735117,-79.911976,Jackson Street,15206,6526, , , 
40.4735609,-79.9119689,Jackson Street,15206,6528, , , 
40.4743472,-79.9124031,Jackson Street,15206,6609, , , 
40.4744086,-79.9123932,Jackson Street,15206,6611, , , 
40.4744826,-79.9123808,Jackson Street,15206,6613, , , 
40.4745421,-79.9123712,Jackson Street,15206,6615, , , 
