lat,lon,street,postcode,housenumber,city,state,country
40.4760642,-79.9310958,Jancey Street,15206,933, , , 
40.4841866,-79.9284439,Jancey Street,15206,1659, , , 
40.4842275,-79.9284316,Jancey Street,15206,1661, , , 
40.484466,-79.9283807,Jancey Street,15206,1671, , , 
40.4845071,-79.928368,Jancey Street,15206,1673, , , 
40.4845488,-79.9283539,Jancey Street,15206,1675, , , 
40.4830567,-79.9283298,Jancey Street,15206,1620, , , 
40.4847563,-79.9282858,Jancey Street,15206,1685, , , 
40.4848535,-79.9281997,Jancey Street,15206,1689, , , 
40.4835475,-79.9281626,Jancey Street,15206,1636, , , 
40.4848906,-79.9281549,Jancey Street,15206,1691, , , 
40.4849204,-79.9281174,Jancey Street,15206,1693, , , 
40.4837053,-79.9281091,Jancey Street,15206,1640, , , 
40.4841951,-79.9279382,Jancey Street,15206,1664, , , 
40.4842221,-79.9279319,Jancey Street,15206,1666, , , 
40.4842835,-79.9279098,Jancey Street,15206,1668, , , 
40.4850233,-79.9278891,Jancey Street,15206,1701, , , 
40.4843926,-79.9278745,Jancey Street,15206,1672, , , 
40.4844379,-79.9278609,Jancey Street,15206,1674, , , 
40.4850528,-79.927852,Jancey Street,15206,1703, , , 
40.4848712,-79.9274962,Jancey Street,15206,1706, , , 
40.4850596,-79.92723,Jancey Street,15206,1710, , , 
40.4851858,-79.9276714,Jancey Street,15206,1711, , , 
40.4852122,-79.9276399,Jancey Street,15206,1713, , , 
40.4854114,-79.9274467,Jancey Street,15206,1719, , , 
40.4852018,-79.9271134,Jancey Street,15206,1720, , , 
40.4854636,-79.9273553,Jancey Street,15206,1723, , , 
40.4854948,-79.927316,Jancey Street,15206,1725, , , 
40.4855389,-79.9272934,Jancey Street,15206,1727, , , 
40.4855697,-79.9272623,Jancey Street,15206,1729, , , 
40.4858889,-79.9268167,Jancey Street,15206,1745, , , 
40.4859302,-79.9267813,Jancey Street,15206,1747, , , 
40.4868682,-79.9257291,Jancey Street,15206,1841, , , 
40.4869243,-79.9256813,Jancey Street,15206,1843, , , 
40.4869635,-79.9256401,Jancey Street,15206,1845, , , 
40.4870927,-79.9255307,Jancey Street,15206,1851, , , 
40.4871298,-79.9254883,Jancey Street,15206,1853, , , 
40.4874641,-79.9251999,Jancey Street,15206,1867, , , 
40.4876353,-79.9250044,Jancey Street,15206,1877, , , 
40.4876769,-79.9249658,Jancey Street,15206,1879, , , 
40.4877084,-79.9249413,Jancey Street,15206,1881, , , 
40.4872658,-79.9247954,Jancey Street,15206,1866, , , 
40.4875707,-79.9245431,Jancey Street,15206,1876, , , 
40.4876274,-79.9245215,Jancey Street,15206,1880, , , 
40.4861883,-79.9264322,Jancey Street,15206,1805, , , 
40.4883285,-79.9242385,Jancey Street,15206,2006, , , 
40.4872669,-79.9247976,Jancey Street,15206,1864, , , 
40.476321,-79.9305112,Jancey Street,15206,1008, , , 
40.4763646,-79.9304986,Jancey Street,15206,1010, , , 
40.4768146,-79.9303146,Jancey Street,15206,1024, , , 
40.4769784,-79.9307687,Jancey Street,15206,1025, , , 
40.4770439,-79.9307474,Jancey Street,15206,1027, , , 
40.4771041,-79.9307282,Jancey Street,15206,1029, , , 
40.4790875,-79.9295755,Jancey Street,15206,1168, , , 
40.4801748,-79.929707,Jancey Street,15206,1225, , , 
40.4802796,-79.9296809,Jancey Street,15206,1229, , , 
40.4803652,-79.9296448,Jancey Street,15206,1231, , , 
40.4804455,-79.9296208,Jancey Street,15206,1235, , , 
40.4805815,-79.9295738,Jancey Street,15206,1243, , , 
40.48375,-79.9280961,Jancey Street,15206,1644, , , 
40.4847819,-79.9275864,Jancey Street,15206,1700, , , 
40.4850924,-79.9271362,Jancey Street,15206,1718, , , 
40.4851517,-79.9271938,Jancey Street,15206,5, , , 
40.4830575,-79.9283319,Jancey Street,15206,1618, , , 
40.4848435,-79.9276093,Jancey Street,15206,1702, , , 
40.4849835,-79.92726,Jancey Street,15206,1714, , , 
40.4790697,-79.9295149,Jancey Street,15206,1166, , , 
40.4862309,-79.9264307,Jancey Street,15206,1807, , , 
40.4759697,-79.9310244,Jancey Street,15206,929, , , 
40.4761469,-79.9305983,Jancey Street,15206,1000, , , 
