lat,lon,street,postcode,housenumber,city,state,country
40.4692958,-80.0105385,Kenwood Avenue,15214,37,Pittsburgh,PA,US
40.469466,-80.0096709,Kenwood Avenue,15214,26,Pittsburgh,PA,US
40.469481,-80.009524,Kenwood Avenue,15214,25,Pittsburgh,PA,US
40.4694645,-80.009705,Kenwood Avenue,15214,27,Pittsburgh,PA,US
40.4694343,-80.0098331,Kenwood Avenue,15214,28,Pittsburgh,PA,US
40.4693644,-80.0102607,Kenwood Avenue,15214,33,Pittsburgh,PA,US
40.4693445,-80.0102953,Kenwood Avenue,15214,34,Pittsburgh,PA,US
40.4693022,-80.0105064,Kenwood Avenue,15214,36,Pittsburgh,PA,US
40.4695459,-80.0091792,Kenwood Avenue,15214,18,Pittsburgh,PA,US
40.4695502,-80.0091423,Kenwood Avenue,15214,16,Pittsburgh,PA,US
40.469573,-80.0090151,Kenwood Avenue,15214,14,Pittsburgh,PA,US
40.4695792,-80.0089639,Kenwood Avenue,15214,12,Pittsburgh,PA,US
