lat,lon,street,postcode,housenumber,city,state,country
40.4661183,-79.93264,Kincaid Street,15206,5459, , , 
40.4657387,-79.9326155,Kincaid Street,15206,5464, , , 
40.4660839,-79.9324412,Kincaid Street,15206,5463, , , 
40.4657103,-79.9323877,Kincaid Street,15206,5470, , , 
40.4660717,-79.9323419,Kincaid Street,15206,5465, , , 
40.4659451,-79.9319395,Kincaid Street,15206,5475, , , 
40.4657902,-79.9328688,Kincaid Street,15206,5456, , , 
40.465805,-79.9329599,Kincaid Street,15206,5454, , , 
40.4659202,-79.933767,Kincaid Street,15206,5436, , , 
40.4660407,-79.9346076,Kincaid Street,15206,5422, , , 
40.4660595,-79.9347898,Kincaid Street,15206,5416, , , 
40.4661052,-79.9352051,Kincaid Street,15206,5406, , , 
40.4661087,-79.9352401,Kincaid Street,15206,5404, , , 
40.4661197,-79.9353817,Kincaid Street,15206,5400, , , 
40.4661816,-79.9331831,Kincaid Street,15206,5447, , , 
40.4662204,-79.933733,Kincaid Street,15206,5435, , , 
