lat,lon,street,postcode,housenumber,city,state,country
40.4786507,-79.9256653,King Avenue,15206,1220, , , 
40.4770378,-79.9269908,King Avenue,15206,1123, , , 
40.477083,-79.9269696,King Avenue,15206,1125, , , 
40.4771279,-79.9269451,King Avenue,15206,1127, , , 
40.4771801,-79.9269177,King Avenue,15206,1129, , , 
40.4772865,-79.9268629,King Avenue,15206,1133, , , 
40.4773329,-79.9268378,King Avenue,15206,1135, , , 
40.4774876,-79.9267579,King Avenue,15206,1141, , , 
40.4778145,-79.9265858,King Avenue,15206,1155, , , 
40.4794429,-79.9258678,King Avenue,15206,1315, , , 
40.4756383,-79.9271477,King Avenue,15206,1028, , , 
40.475701,-79.9271141,King Avenue,15206,1030, , , 
